,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
biomass_CHP_CC_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,124827248.7,-0.0,24159.0,-0.0,-0.0,-0.0,-0.0,-0.0,124832243.7,-0.0,-0.0,3836.1,-0.0,-0.0,10379.1,2453.1,91791275.7,6962334.6,-0.0,-0.0,-0.0,2108.4,12460540.8,-0.0
biomass_CHP_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9908.7,-0.0,145177044.9,-0.0,-0.0,-0.0,-0.0,-0.0,4323.3,-0.0,-0.0,161868876.9,-0.0,-0.0,153156869.7,161870422.8,36857705.4,154107439.2,-0.0,-0.0,-0.0,6111478.8,125342046.3,-0.0
onwind_gen [MWh],352058343.0,513480855.6,434243066.4,349277198.4,350404967.7,549187086.9,2975786172.9,1257193420.5,2513234293.5,729749525.1,353113663.2,1483905415.5,371604128.7,497616322.8,2870422992.6,1105582128.0,888971706.3,1416763595.1,1609473995.7,367390266.6,2291847330.9,998805432.3,2725736198.1,1852193498.1,387588688.8,698818709.7,1010985200.7,851112741.6,2630666974.8,641696333.7
offwind_gen [MWh],590562558.0,902926008.6,874037605.2,735094372.5,398161821.6,962901745.8,2683173416.7,1167555891.3,1583946455.4,951634134.0,410095790.4,1195924266.9,887296794.3,838510602.0,2527494450.6,1143852084.0,1080799672.5,1190400720.6,1219504239.3,834408772.2,1332025017.6,1119331976.4,2238244410.6,1242321039.3,893713174.2,1052644714.8,1129771101.0,1087482932.1,1902763260.3,1035010670.4
solar_gen [MWh],479625533.1,980108149.8,897131524.8,559039551.0,431168697.3,1107294964.2,3214682059.2,1602973659.9,2541913248.3,910493964.6,438434010.0,1655497837.5,734966000.7,1063323642.6,3101300343.0,1522631727.3,1385255532.6,1734635022.6,1692388025.1,660141087.3,2284161088.8,1467732667.5,2897299705.8,2110085211.0,810110063.7,1238723405.4,1467301291.2,1326097048.2,2687871883.8,1179960015.3
hydro_gen [MWh],512945969.7,511795122.3,511833626.1,512805807.0,513042319.8,512755142.1,511618137.9,512311707.9,511939829.7,512801076.3,513039124.8,511565544.9,512205384.9,512964597.6,512525525.7,512241008.4,512818284.0,512879581.5,509382531.6,512478986.4,512845647.0,512893605.6,512873281.2,512926172.1,511999269.6,512855113.8,512202302.4,513000770.4,512180874.3,512986534.2
tot_gen [MWh],2771.55,2962.313,2832.684,2775.451,2769.964,3860.747,9635.676,4933.07,7448.378,3164.679,2770.361,5175.26,2787.94,3789.377,9266.107,4730.844,4360.672,5356.929,5332.642,2781.955,6741.058,4845.435,8632.064,6096.023,2800.639,4100.887,4579.405,4665.435,8009.371,3982.465
cap_onwind [GW],116.564,203.729,179.738,118.833,114.886,184.974,1121.47,522.587,969.24,293.461,116.071,622.694,149.784,162.756,1081.912,454.176,346.266,544.668,667.065,137.849,883.733,378.337,1027.014,714.87,160.148,258.877,403.019,316.343,1000.762,230.474
cap_offwind [GW],128.523,219.202,218.664,166.232,82.599,222.184,618.91,286.854,376.334,228.154,85.051,296.694,215.956,191.479,588.148,277.917,260.084,285.227,300.478,196.558,322.639,267.953,528.484,300.423,221.644,249.724,272.478,257.054,451.38,243.593
cap_solar [GW],418.122,929.15,848.974,507.799,368.109,1015.542,2925.663,1494.468,2319.429,851.759,375.38,1550.486,691.836,968.744,2822.931,1422.613,1294.147,1603.498,1589.832,615.497,2096.47,1371.738,2636.14,1932.196,763.618,1148.045,1372.916,1239.361,2450.245,1091.684
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],63.386,24.781,53.871,68.666,53.667,72.428,27.885,37.969,38.202,0.0,54.84,29.4,61.05,75.595,30.487,42.209,51.123,58.91,27.199,62.873,42.676,60.828,43.865,50.303,61.685,58.199,46.512,64.828,42.37,63.331
cap_gas_CCGT [GW],114.819,30.513,37.908,92.03,141.18,38.519,0.227,3.849,0.396,0.0,139.37,2.886,56.702,43.392,0.237,5.646,11.878,30.537,2.616,70.89,6.204,55.956,0.295,14.275,45.019,18.323,8.418,62.722,0.282,27.517
cap_coal [GW],0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.002,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
cap_nuclear [GW],0.0,2.871,0.0,0.0,0.0,0.002,8.957,0.006,6.126,11.176,0.0,0.065,0.0,0.002,9.033,0.011,0.0,0.0,0.033,0.0,2.759,0.0,7.47,1.594,0.0,0.0,0.009,0.0,7.151,0.0
cap_gas_CHP_CC [GW],0.0,0.0,0.0,0.0,0.0,0.002,0.004,81.545,0.002,0.0,0.0,67.958,0.0,0.001,0.002,85.919,51.68,0.0,62.508,0.0,0.0,0.0,0.0,0.0,0.0,38.904,67.683,0.0,0.001,11.983
cap_gas_CHP [GW],0.0,0.0,0.0,0.0,0.0,115.017,80.016,83.916,113.738,0.0,0.0,93.26,0.0,118.724,82.793,80.842,93.18,115.041,95.7,0.0,118.063,110.296,88.065,118.62,0.0,92.834,87.929,131.048,96.974,110.11
cap_biomass_CHP_CC [GW],0.0,0.0,0.0,0.0,0.0,0.0,31.143,0.0,0.004,0.0,0.0,0.0,0.0,0.0,30.97,0.0,0.0,0.0,0.0,0.0,0.002,0.0,19.704,0.867,0.0,0.0,0.0,0.0,2.215,0.0
cap_biomass_CHP [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,37.293,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,23.465,0.0,0.0,34.173,21.339,12.784,27.552,0.0,0.0,0.0,0.722,36.115,0.0
sector,,,,,,T-H,T-H-I-B,T-H,T-H-I-B,,,T-H,,T-H,T-H-I-B,T-H,T-H,T-H-I-B,T-H,,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,,T-H,T-H,T-H-I-B,T-H-I-B,T-H
