,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
527,0.5,1.0,35.0,2.0,30.0,490.0,8.299,15.831,83.248
265,0.25,1.0,35.0,0.95,30.0,350.0,1.279,0.924,110.552
348,0.5,1.0,350.0,0.5,10.0,350.0,0.057,0.029,74.597
248,0.95,1.0,700.0,0.95,10.0,35.0,4.551,5.484,44.257
594,0.95,1.0,350.0,0.25,10.0,490.0,0.19,0.087,76.711
688,0.95,1.0,700.0,0.5,10.0,490.0,0.603,0.328,52.596
560,0.25,1.0,350.0,0.95,10.0,490.0,0.0,0.0,119.75
70,0.95,1.0,35.0,0.5,10.0,35.0,5.308,3.98,50.644
561,0.25,1.0,350.0,0.95,30.0,490.0,0.0,0.0,171.75
562,0.25,1.0,350.0,2.0,10.0,490.0,0.034,0.029,109.321
858,0.95,1.0,490.0,0.95,10.0,700.0,4.316,5.826,82.084
28,0.5,1.0,35.0,0.25,30.0,35.0,2.339,0.639,82.972
75,0.95,1.0,35.0,0.5,30.0,35.0,10.38,4.711,95.947
26,0.5,1.0,35.0,0.25,10.0,35.0,0.948,0.475,38.61
544,0.95,1.0,35.0,0.5,30.0,490.0,7.995,4.081,120.992
474,0.95,1.0,700.0,0.95,10.0,350.0,3.83,4.23,75.068
855,0.95,1.0,490.0,0.5,30.0,700.0,3.087,1.125,110.813
506,0.5,1.0,35.0,0.5,10.0,490.0,1.647,0.911,127.622
893,0.95,1.0,700.0,0.5,30.0,700.0,1.649,0.649,86.482
471,0.95,1.0,700.0,0.5,30.0,350.0,2.406,0.901,74.802
566,0.25,1.0,350.0,2.0,30.0,490.0,0.423,0.305,126.968
852,0.95,1.0,490.0,0.5,10.0,700.0,1.037,0.514,77.028
509,0.5,1.0,35.0,0.5,30.0,490.0,2.521,1.259,122.509
21,0.25,1.0,35.0,2.0,30.0,35.0,4.391,4.597,58.835
468,0.95,1.0,700.0,0.5,10.0,350.0,0.796,0.423,50.042
880,0.5,1.0,700.0,2.0,10.0,700.0,2.106,3.662,77.614
87,0.95,1.0,35.0,0.95,30.0,35.0,18.279,17.598,88.806
512,0.5,1.0,35.0,0.95,10.0,490.0,3.082,2.629,99.069
896,0.95,1.0,700.0,0.95,10.0,700.0,3.308,3.444,84.983
80,0.95,1.0,35.0,0.95,10.0,35.0,9.277,15.209,49.587
479,0.95,1.0,700.0,0.95,30.0,350.0,9.836,5.995,129.506
863,0.95,1.0,490.0,0.95,30.0,700.0,8.747,7.272,116.818
30,0.5,1.0,35.0,0.5,10.0,35.0,2.276,1.238,46.488
548,0.95,1.0,35.0,0.95,10.0,490.0,8.225,12.641,82.819
498,0.25,1.0,35.0,2.0,30.0,490.0,2.255,2.471,102.36
885,0.5,1.0,700.0,2.0,30.0,700.0,3.881,5.225,103.82
494,0.25,1.0,35.0,2.0,10.0,490.0,1.5,1.938,89.227
48,0.5,1.0,35.0,2.0,10.0,35.0,6.929,18.063,39.709
877,0.5,1.0,700.0,0.95,30.0,700.0,0.191,0.086,156.878
38,0.5,1.0,35.0,0.95,10.0,35.0,3.68,3.811,43.931
491,0.25,1.0,35.0,0.95,30.0,490.0,1.112,0.796,137.944
554,0.95,1.0,35.0,0.95,30.0,490.0,13.583,14.388,112.531
874,0.5,1.0,700.0,0.95,10.0,700.0,0.0,0.0,200.0
55,0.5,1.0,35.0,2.0,30.0,35.0,12.349,21.249,64.212
