,eta_d,c_hat,c_c,eta_c,tau_SD,c_d,E,lc,dt
1,0.25,2.0,35.0,0.25,10.0,35.0,0.107,0.098,26.402
692,0.95,2.0,700.0,0.5,30.0,490.0,1.404,0.654,58.616
3,0.25,2.0,35.0,0.25,30.0,35.0,0.293,0.182,39.515
304,0.5,2.0,35.0,2.0,30.0,350.0,5.719,16.015,55.246
695,0.95,2.0,700.0,0.95,10.0,490.0,2.525,3.623,59.3
897,0.95,2.0,700.0,0.95,10.0,700.0,2.244,3.174,62.684
5,0.25,2.0,35.0,0.5,10.0,35.0,0.34,0.346,28.144
7,0.25,2.0,35.0,0.5,30.0,35.0,0.682,0.506,41.798
9,0.25,2.0,35.0,0.95,10.0,35.0,0.786,0.909,28.009
297,0.5,2.0,35.0,2.0,10.0,350.0,3.784,13.961,40.432
293,0.5,2.0,35.0,0.95,30.0,350.0,3.468,3.356,75.88
707,0.25,2.0,35.0,0.95,10.0,700.0,0.13,0.188,88.637
289,0.5,2.0,35.0,0.95,10.0,350.0,2.129,2.709,60.225
700,0.95,2.0,700.0,0.95,30.0,490.0,5.985,5.096,98.225
249,0.95,2.0,700.0,0.95,10.0,35.0,3.215,5.241,31.872
263,0.25,2.0,35.0,0.95,10.0,350.0,0.369,0.478,69.865
31,0.5,2.0,35.0,0.5,10.0,35.0,1.536,1.173,33.386
211,0.95,2.0,490.0,0.95,30.0,35.0,8.282,8.948,67.342
886,0.5,2.0,700.0,2.0,30.0,700.0,2.168,4.512,66.579
754,0.95,2.0,35.0,0.25,30.0,700.0,2.794,1.255,111.061
35,0.5,2.0,35.0,0.5,30.0,35.0,2.471,1.507,51.662
217,0.25,2.0,700.0,2.0,10.0,35.0,0.354,0.248,30.625
751,0.95,2.0,35.0,0.25,10.0,700.0,1.66,0.912,113.647
221,0.25,2.0,700.0,2.0,30.0,35.0,0.971,0.596,39.93
891,0.95,2.0,700.0,0.5,10.0,700.0,0.162,0.1,52.662
744,0.5,2.0,35.0,2.0,30.0,700.0,4.668,13.831,57.466
225,0.5,2.0,700.0,0.95,10.0,35.0,0.769,0.454,31.038
228,0.5,2.0,700.0,0.95,30.0,35.0,1.427,0.753,40.093
726,0.5,2.0,35.0,0.5,30.0,700.0,1.362,0.993,109.899
29,0.5,2.0,35.0,0.25,30.0,35.0,1.489,0.619,57.049
231,0.5,2.0,700.0,2.0,10.0,35.0,2.501,7.799,26.037
27,0.5,2.0,35.0,0.25,10.0,35.0,0.707,0.453,29.293
847,0.5,2.0,490.0,2.0,30.0,700.0,2.812,7.064,62.627
737,0.5,2.0,35.0,2.0,10.0,700.0,3.373,12.013,46.968
733,0.5,2.0,35.0,0.95,30.0,700.0,2.616,2.647,94.741
246,0.95,2.0,700.0,0.5,30.0,35.0,2.306,0.958,50.781
729,0.5,2.0,35.0,0.95,10.0,700.0,1.734,2.159,79.271
237,0.5,2.0,700.0,2.0,30.0,35.0,4.173,9.286,41.319
22,0.25,2.0,35.0,2.0,30.0,35.0,2.26,4.11,33.652
243,0.95,2.0,700.0,0.5,10.0,35.0,0.948,0.543,26.754
894,0.95,2.0,700.0,0.5,30.0,700.0,1.027,0.489,66.024
876,0.5,5.0,700.0,0.95,10.0,700.0,0.0,0.0,52.5
854,0.95,5.0,490.0,0.5,10.0,700.0,0.225,0.187,45.297
887,0.5,5.0,700.0,2.0,30.0,700.0,0.942,3.059,43.95
542,0.95,5.0,35.0,0.5,10.0,490.0,1.86,2.874,46.26
882,0.5,5.0,700.0,2.0,10.0,700.0,0.459,1.524,41.687
895,0.95,5.0,700.0,0.5,30.0,700.0,0.31,0.227,42.863
529,0.5,5.0,35.0,2.0,30.0,490.0,2.817,13.482,33.833
848,0.5,5.0,490.0,2.0,30.0,700.0,1.38,5.686,39.092
536,0.95,5.0,35.0,0.25,10.0,490.0,0.944,0.838,62.593
873,0.25,5.0,700.0,2.0,30.0,700.0,0.0,0.0,inf
865,0.95,5.0,490.0,0.95,30.0,700.0,2.417,6.133,44.379
546,0.95,5.0,35.0,0.5,30.0,490.0,2.866,3.472,56.434
879,0.5,5.0,700.0,0.95,30.0,700.0,0.0,0.0,67.0
556,0.95,5.0,35.0,0.95,30.0,490.0,4.501,13.023,45.036
903,0.95,5.0,700.0,0.95,30.0,700.0,2.063,3.678,49.557
857,0.95,5.0,490.0,0.5,30.0,700.0,0.688,0.542,43.422
539,0.95,5.0,35.0,0.25,30.0,490.0,1.593,1.185,62.465
550,0.95,5.0,35.0,0.95,10.0,490.0,3.244,11.781,35.117
898,0.95,5.0,700.0,0.95,10.0,700.0,1.32,2.517,46.38
860,0.95,5.0,490.0,0.95,10.0,700.0,1.791,5.16,40.27
892,0.95,5.0,700.0,0.5,10.0,700.0,0.003,0.003,26.271
564,0.25,5.0,350.0,2.0,10.0,490.0,0.0,0.0,42.25
870,0.25,5.0,700.0,2.0,10.0,700.0,0.0,0.0,inf
602,0.95,5.0,350.0,0.5,30.0,490.0,1.358,1.129,46.868
842,0.5,5.0,490.0,2.0,10.0,700.0,0.96,4.305,35.956
640,0.5,5.0,490.0,2.0,30.0,490.0,1.753,7.197,36.648
755,0.95,5.0,35.0,0.25,30.0,700.0,1.48,1.094,74.758
752,0.95,5.0,35.0,0.25,10.0,700.0,0.805,0.762,69.405
745,0.5,5.0,35.0,2.0,30.0,700.0,2.568,12.225,36.259
646,0.95,5.0,490.0,0.5,10.0,490.0,0.47,0.343,45.608
738,0.5,5.0,35.0,2.0,10.0,700.0,2.146,10.979,32.968
650,0.95,5.0,490.0,0.5,30.0,490.0,1.011,0.707,44.015
734,0.5,5.0,35.0,0.95,30.0,700.0,1.146,2.1,54.597
654,0.95,5.0,490.0,0.95,10.0,490.0,2.05,5.814,37.799
730,0.5,5.0,35.0,0.95,10.0,700.0,0.853,1.69,51.135
727,0.5,5.0,35.0,0.5,30.0,700.0,0.504,0.677,62.776
660,0.95,5.0,490.0,0.95,30.0,490.0,2.825,6.878,44.349
758,0.95,5.0,35.0,0.5,10.0,700.0,1.78,2.589,53.332
724,0.5,5.0,35.0,0.5,10.0,700.0,0.307,0.457,61.307
714,0.25,5.0,35.0,2.0,10.0,700.0,0.106,0.336,44.798
669,0.25,5.0,700.0,2.0,30.0,490.0,0.0,0.0,38.0
711,0.25,5.0,35.0,0.95,30.0,700.0,0.026,0.075,45.638
708,0.25,5.0,35.0,0.95,10.0,700.0,0.011,0.032,47.224
672,0.5,5.0,700.0,0.95,10.0,490.0,0.0,0.0,54.0
675,0.5,5.0,700.0,0.95,30.0,490.0,0.0,0.0,39.667
701,0.95,5.0,700.0,0.95,30.0,490.0,2.275,4.172,47.997
696,0.95,5.0,700.0,0.95,10.0,490.0,1.631,3.123,44.433
678,0.5,5.0,700.0,2.0,10.0,490.0,0.955,3.255,38.893
693,0.95,5.0,700.0,0.5,30.0,490.0,0.654,0.402,42.978
690,0.95,5.0,700.0,0.5,10.0,490.0,0.096,0.066,44.208
684,0.5,5.0,700.0,2.0,30.0,490.0,1.333,4.425,40.165
666,0.25,5.0,700.0,2.0,10.0,490.0,0.0,0.0,inf
568,0.25,5.0,350.0,2.0,30.0,490.0,0.0,0.0,50.5
634,0.5,5.0,490.0,2.0,10.0,490.0,1.313,5.919,32.957
630,0.5,5.0,490.0,0.95,30.0,490.0,0.068,0.074,41.907
839,0.5,5.0,490.0,0.95,30.0,700.0,0.0,0.0,51.125
836,0.5,5.0,490.0,0.95,10.0,700.0,0.0,0.0,76.0
576,0.5,5.0,350.0,0.95,10.0,490.0,0.053,0.063,43.628
832,0.25,5.0,490.0,2.0,30.0,700.0,0.0,0.0,inf
828,0.25,5.0,490.0,2.0,10.0,700.0,0.0,0.0,inf
580,0.5,5.0,350.0,0.95,30.0,490.0,0.286,0.319,43.131
822,0.95,5.0,350.0,0.95,30.0,700.0,2.725,7.882,42.375
816,0.95,5.0,350.0,0.95,10.0,700.0,2.077,6.823,37.905
584,0.5,5.0,350.0,2.0,10.0,490.0,1.574,7.624,32.116
812,0.95,5.0,350.0,0.5,30.0,700.0,1.177,0.961,53.72
590,0.5,5.0,350.0,2.0,30.0,490.0,2.063,9.075,35.251
808,0.95,5.0,350.0,0.5,10.0,700.0,0.539,0.489,45.599
762,0.95,5.0,35.0,0.5,30.0,700.0,2.551,3.125,61.195
802,0.5,5.0,350.0,2.0,30.0,700.0,1.649,7.402,37.202
796,0.5,5.0,350.0,2.0,10.0,700.0,1.231,6.258,32.648
792,0.5,5.0,350.0,0.95,30.0,700.0,0.077,0.09,58.876
606,0.95,5.0,350.0,0.95,10.0,490.0,2.303,7.515,35.6
788,0.5,5.0,350.0,0.95,10.0,700.0,0.001,0.002,48.411
612,0.95,5.0,350.0,0.95,30.0,490.0,3.075,8.739,41.643
618,0.25,5.0,490.0,2.0,10.0,490.0,0.0,0.0,inf
782,0.25,5.0,350.0,2.0,30.0,700.0,0.0,0.0,inf
778,0.25,5.0,350.0,2.0,10.0,700.0,0.0,0.0,inf
622,0.25,5.0,490.0,2.0,30.0,490.0,0.0,0.0,39.75
772,0.95,5.0,35.0,0.95,30.0,700.0,4.274,12.307,47.015
766,0.95,5.0,35.0,0.95,10.0,700.0,3.147,11.138,37.91
626,0.5,5.0,490.0,0.95,10.0,490.0,0.001,0.001,26.671
598,0.95,5.0,350.0,0.5,10.0,490.0,0.788,0.67,45.591
718,0.25,5.0,35.0,2.0,30.0,700.0,0.179,0.546,45.222
452,0.5,5.0,700.0,0.95,10.0,350.0,0.0,0.0,26.0
267,0.25,5.0,35.0,0.95,30.0,350.0,0.159,0.33,45.675
198,0.95,5.0,490.0,0.5,10.0,35.0,0.98,0.709,22.716
368,0.5,5.0,350.0,2.0,30.0,350.0,2.375,10.223,33.745
188,0.5,5.0,490.0,2.0,30.0,35.0,2.583,10.796,24.133
378,0.95,5.0,350.0,0.5,10.0,350.0,0.952,0.798,45.483
182,0.5,5.0,490.0,2.0,10.0,35.0,2.15,9.668,20.569
382,0.95,5.0,350.0,0.5,30.0,350.0,1.519,1.232,46.434
178,0.5,5.0,490.0,0.95,30.0,35.0,1.031,0.76,31.846
386,0.95,5.0,350.0,0.95,10.0,350.0,2.398,8.042,33.4
174,0.5,5.0,490.0,0.95,10.0,35.0,0.516,0.443,23.611
166,0.25,5.0,490.0,2.0,30.0,35.0,0.172,0.209,23.619
392,0.95,5.0,350.0,0.95,30.0,350.0,3.493,9.158,43.807
162,0.25,5.0,490.0,2.0,10.0,35.0,0.014,0.019,16.848
152,0.95,5.0,350.0,0.95,30.0,35.0,3.768,10.242,29.037
202,0.95,5.0,490.0,0.5,30.0,35.0,1.582,1.017,32.713
398,0.25,5.0,490.0,2.0,10.0,350.0,0.0,0.0,33.75
146,0.95,5.0,350.0,0.95,10.0,35.0,2.692,9.218,21.396
406,0.5,5.0,490.0,0.95,10.0,350.0,0.007,0.009,29.596
142,0.95,5.0,350.0,0.5,30.0,35.0,1.905,1.51,32.308
138,0.95,5.0,350.0,0.5,10.0,35.0,1.209,1.079,21.523
414,0.5,5.0,490.0,2.0,10.0,350.0,1.559,6.842,32.011
128,0.5,5.0,350.0,2.0,30.0,35.0,2.759,12.739,23.241
122,0.5,5.0,350.0,2.0,10.0,35.0,2.398,11.668,20.598
420,0.5,5.0,490.0,2.0,30.0,350.0,2.075,8.247,35.323
118,0.5,5.0,350.0,0.95,30.0,35.0,1.284,1.187,31.707
426,0.95,5.0,490.0,0.5,10.0,350.0,0.669,0.467,45.62
114,0.5,5.0,350.0,0.95,10.0,35.0,0.814,0.809,23.66
430,0.95,5.0,490.0,0.5,30.0,350.0,1.201,0.816,44.763
111,0.5,5.0,350.0,0.5,30.0,35.0,0.393,0.249,28.209
402,0.25,5.0,490.0,2.0,30.0,350.0,0.0,0.0,56.0
434,0.95,5.0,490.0,0.95,10.0,350.0,2.163,6.269,35.413
206,0.95,5.0,490.0,0.95,10.0,35.0,2.373,7.295,21.028
358,0.5,5.0,350.0,0.95,30.0,350.0,0.553,0.592,42.679
290,0.5,5.0,35.0,0.95,10.0,350.0,1.185,2.369,38.539
287,0.5,5.0,35.0,0.5,30.0,350.0,0.808,0.945,50.165
298,0.5,5.0,35.0,2.0,10.0,350.0,2.583,13.31,29.051
284,0.5,5.0,35.0,0.5,10.0,350.0,0.458,0.657,45.089
275,0.25,5.0,35.0,2.0,30.0,350.0,0.573,1.622,38.311
270,0.25,5.0,35.0,2.0,10.0,350.0,0.419,1.305,34.657
305,0.5,5.0,35.0,2.0,30.0,350.0,2.969,14.499,31.434
264,0.25,5.0,35.0,0.95,10.0,350.0,0.074,0.182,39.286
255,0.95,5.0,700.0,0.95,30.0,35.0,2.79,5.873,29.422
312,0.95,5.0,35.0,0.25,10.0,350.0,1.052,0.899,56.322
315,0.95,5.0,35.0,0.25,30.0,350.0,1.726,1.231,60.334
250,0.95,5.0,700.0,0.95,10.0,35.0,2.008,4.75,21.055
247,0.95,5.0,700.0,0.5,30.0,35.0,1.308,0.726,33.031
362,0.5,5.0,350.0,2.0,10.0,350.0,1.912,8.863,31.299
318,0.95,5.0,35.0,0.5,10.0,350.0,1.921,3.077,42.801
322,0.95,5.0,35.0,0.5,30.0,350.0,2.969,3.68,52.917
238,0.5,5.0,700.0,2.0,30.0,35.0,2.286,8.13,25.836
326,0.95,5.0,35.0,0.95,10.0,350.0,3.347,12.212,33.484
232,0.5,5.0,700.0,2.0,10.0,35.0,1.796,6.961,20.595
229,0.5,5.0,700.0,0.95,30.0,35.0,0.778,0.489,34.404
332,0.95,5.0,35.0,0.95,30.0,350.0,4.662,13.59,42.813
226,0.5,5.0,700.0,0.95,10.0,35.0,0.199,0.155,19.972
342,0.25,5.0,350.0,2.0,10.0,350.0,0.0,0.0,57.75
222,0.25,5.0,700.0,2.0,30.0,35.0,0.006,0.008,16.008
346,0.25,5.0,350.0,2.0,30.0,350.0,0.0,0.0,39.375
354,0.5,5.0,350.0,0.95,10.0,350.0,0.194,0.202,44.872
218,0.25,5.0,700.0,2.0,10.0,35.0,0.002,0.003,12.317
212,0.95,5.0,490.0,0.95,30.0,35.0,3.371,8.415,29.258
244,0.95,5.0,700.0,0.5,10.0,35.0,0.691,0.428,23.872
108,0.5,5.0,350.0,0.5,10.0,35.0,0.048,0.042,16.052
410,0.5,5.0,490.0,0.95,30.0,350.0,0.289,0.265,42.606
294,0.5,5.0,35.0,0.95,30.0,350.0,1.505,2.79,40.901
77,0.95,5.0,35.0,0.5,30.0,35.0,3.478,4.205,35.965
508,0.5,5.0,35.0,0.5,10.0,490.0,0.385,0.563,52.738
32,0.5,5.0,35.0,0.5,10.0,35.0,0.756,0.973,21.006
500,0.25,5.0,35.0,2.0,30.0,490.0,0.423,1.163,44.557
455,0.5,5.0,700.0,0.95,30.0,350.0,0.005,0.005,25.456
72,0.95,5.0,35.0,0.5,10.0,35.0,2.163,3.622,22.827
496,0.25,5.0,35.0,2.0,10.0,490.0,0.262,0.801,40.275
464,0.5,5.0,700.0,2.0,30.0,350.0,1.681,5.674,37.581
493,0.25,5.0,35.0,0.95,30.0,490.0,0.09,0.2,49.466
449,0.25,5.0,700.0,2.0,30.0,350.0,0.0,0.0,32.25
36,0.5,5.0,35.0,0.5,30.0,35.0,1.148,1.247,27.626
64,0.95,5.0,35.0,0.25,10.0,35.0,1.209,1.062,22.197
40,0.5,5.0,35.0,0.95,10.0,35.0,1.556,3.241,21.844
490,0.25,5.0,35.0,0.95,10.0,490.0,0.036,0.1,40.495
470,0.95,5.0,700.0,0.5,10.0,350.0,0.257,0.162,45.189
473,0.95,5.0,700.0,0.5,30.0,350.0,0.876,0.516,43.215
476,0.95,5.0,700.0,0.95,10.0,350.0,1.773,3.554,41.173
45,0.5,5.0,35.0,0.95,30.0,35.0,2.022,3.704,27.185
57,0.5,5.0,35.0,2.0,30.0,35.0,3.62,17.861,22.302
50,0.5,5.0,35.0,2.0,10.0,35.0,2.923,16.318,18.872
68,0.95,5.0,35.0,0.25,30.0,35.0,1.992,1.366,35.558
511,0.5,5.0,35.0,0.5,30.0,490.0,0.682,0.828,57.545
458,0.5,5.0,700.0,2.0,10.0,350.0,1.188,4.224,35.758
446,0.25,5.0,700.0,2.0,10.0,350.0,0.0,0.0,29.5
104,0.25,5.0,350.0,2.0,30.0,35.0,0.421,0.586,25.3
10,0.25,5.0,35.0,0.95,10.0,35.0,0.305,0.603,18.886
100,0.25,5.0,350.0,2.0,10.0,35.0,0.153,0.234,20.002
440,0.95,5.0,490.0,0.95,30.0,350.0,2.972,7.239,43.347
14,0.25,5.0,35.0,0.95,30.0,35.0,0.485,0.814,23.35
89,0.95,5.0,35.0,0.95,30.0,35.0,5.194,15.556,29.535
18,0.25,5.0,35.0,2.0,10.0,35.0,0.938,2.933,19.138
522,0.5,5.0,35.0,2.0,10.0,490.0,2.387,12.304,30.566
481,0.95,5.0,700.0,0.95,30.0,350.0,2.417,4.611,46.056
514,0.5,5.0,35.0,0.95,10.0,490.0,1.015,2.045,42.866
23,0.25,5.0,35.0,2.0,30.0,35.0,1.233,3.318,23.502
518,0.5,5.0,35.0,0.95,30.0,490.0,1.358,2.484,46.303
82,0.95,5.0,35.0,0.95,10.0,35.0,3.626,14.23,21.325
731,0.5,10.0,35.0,0.95,10.0,700.0,0.38,1.137,35.599
24,0.25,10.0,35.0,2.0,30.0,35.0,0.464,2.309,14.408
46,0.5,10.0,35.0,0.95,30.0,35.0,1.214,3.093,20.169
213,0.95,10.0,490.0,0.95,30.0,35.0,2.343,7.648,22.271
11,0.25,10.0,35.0,0.95,10.0,35.0,0.075,0.284,13.374
219,0.25,10.0,700.0,2.0,10.0,35.0,0.0,0.0,5.45
41,0.5,10.0,35.0,0.95,10.0,35.0,0.941,2.737,16.205
746,0.5,10.0,35.0,2.0,30.0,700.0,1.486,10.277,25.38
883,0.5,10.0,700.0,2.0,10.0,700.0,0.002,0.008,29.058
899,0.95,10.0,700.0,0.95,10.0,700.0,0.726,1.633,42.142
239,0.5,10.0,700.0,2.0,30.0,35.0,1.332,6.647,18.607
256,0.95,10.0,700.0,0.95,30.0,35.0,1.944,5.144,22.471
37,0.5,10.0,35.0,0.5,30.0,35.0,0.561,0.935,18.815
276,0.25,10.0,35.0,2.0,30.0,350.0,0.131,0.695,21.085
739,0.5,10.0,35.0,2.0,10.0,700.0,1.268,9.294,23.429
251,0.95,10.0,700.0,0.95,10.0,35.0,1.468,4.212,17.162
271,0.25,10.0,35.0,2.0,10.0,350.0,0.094,0.53,18.659
715,0.25,10.0,35.0,2.0,10.0,700.0,0.011,0.071,21.717
719,0.25,10.0,35.0,2.0,30.0,700.0,0.02,0.106,26.752
207,0.95,10.0,490.0,0.95,10.0,35.0,1.824,6.648,17.527
233,0.5,10.0,700.0,2.0,10.0,35.0,1.019,5.602,14.506
888,0.5,10.0,700.0,2.0,30.0,700.0,0.107,0.673,25.908
735,0.5,10.0,35.0,0.95,30.0,700.0,0.528,1.437,39.005
33,0.5,10.0,35.0,0.5,10.0,35.0,0.373,0.717,15.504
19,0.25,10.0,35.0,2.0,10.0,35.0,0.374,1.975,13.518
223,0.25,10.0,700.0,2.0,30.0,35.0,0.0,0.0,11.163
15,0.25,10.0,35.0,0.95,30.0,35.0,0.129,0.393,14.745
105,0.25,10.0,350.0,2.0,30.0,35.0,0.003,0.006,12.334
51,0.5,10.0,35.0,2.0,10.0,35.0,2.086,15.14,14.934
803,0.5,10.0,350.0,2.0,30.0,700.0,0.844,5.773,25.505
143,0.95,10.0,350.0,0.5,30.0,35.0,1.261,1.198,25.342
291,0.5,10.0,35.0,0.95,10.0,350.0,0.625,1.823,29.702
139,0.95,10.0,350.0,0.5,10.0,35.0,0.803,0.84,17.788
809,0.95,10.0,350.0,0.5,10.0,700.0,0.146,0.157,44.645
78,0.95,10.0,35.0,0.5,30.0,35.0,2.002,3.745,22.75
813,0.95,10.0,350.0,0.5,30.0,700.0,0.472,0.512,42.66
129,0.5,10.0,350.0,2.0,30.0,35.0,1.781,11.572,17.093
83,0.95,10.0,35.0,0.95,10.0,35.0,2.643,13.353,16.993
817,0.95,10.0,350.0,0.95,10.0,700.0,1.428,6.025,31.311
123,0.5,10.0,350.0,2.0,10.0,35.0,1.47,10.069,14.87
849,0.5,10.0,490.0,2.0,30.0,700.0,0.536,3.653,25.481
843,0.5,10.0,490.0,2.0,10.0,700.0,0.313,2.688,20.421
823,0.95,10.0,350.0,0.95,30.0,700.0,1.952,7.035,35.516
119,0.5,10.0,350.0,0.95,30.0,35.0,0.431,0.566,21.13
115,0.5,10.0,350.0,0.95,10.0,35.0,0.172,0.241,15.893
90,0.95,10.0,35.0,0.95,30.0,35.0,3.223,14.586,19.534
829,0.25,10.0,490.0,2.0,10.0,700.0,0.0,0.0,inf
101,0.25,10.0,350.0,2.0,10.0,35.0,0.002,0.004,12.22
73,0.95,10.0,35.0,0.5,10.0,35.0,1.546,3.303,18.049
147,0.95,10.0,350.0,0.95,10.0,35.0,2.142,8.706,18.149
797,0.5,10.0,350.0,2.0,10.0,700.0,0.576,4.647,21.453
153,0.95,10.0,350.0,0.95,30.0,35.0,2.514,9.536,21.451
203,0.95,10.0,490.0,0.5,30.0,35.0,1.013,0.773,25.802
763,0.95,10.0,35.0,0.5,30.0,700.0,1.419,2.702,40.642
199,0.95,10.0,490.0,0.5,10.0,35.0,0.534,0.466,17.804
833,0.25,10.0,490.0,2.0,30.0,700.0,0.0,0.0,inf
189,0.5,10.0,490.0,2.0,30.0,35.0,1.587,9.378,17.903
58,0.5,10.0,35.0,2.0,30.0,35.0,2.321,16.06,16.226
773,0.95,10.0,35.0,0.95,30.0,700.0,2.767,11.552,32.69
183,0.5,10.0,490.0,2.0,10.0,35.0,1.279,8.189,14.625
779,0.25,10.0,350.0,2.0,10.0,700.0,0.0,0.0,inf
759,0.95,10.0,35.0,0.5,10.0,700.0,1.112,2.281,38.406
866,0.95,10.0,490.0,0.95,30.0,700.0,1.601,5.335,36.348
65,0.95,10.0,35.0,0.25,10.0,35.0,0.693,0.901,16.22
783,0.25,10.0,350.0,2.0,30.0,700.0,0.0,0.0,inf
175,0.5,10.0,490.0,0.95,10.0,35.0,0.029,0.037,13.895
167,0.25,10.0,490.0,2.0,30.0,35.0,0.002,0.003,11.97
861,0.95,10.0,490.0,0.95,10.0,700.0,1.17,4.164,34.55
163,0.25,10.0,490.0,2.0,10.0,35.0,0.001,0.002,11.915
789,0.5,10.0,350.0,0.95,10.0,700.0,0.0,0.0,48.0
69,0.95,10.0,35.0,0.25,30.0,35.0,1.083,1.174,22.547
793,0.5,10.0,350.0,0.95,30.0,700.0,0.0,0.0,39.0
179,0.5,10.0,490.0,0.95,30.0,35.0,0.195,0.228,19.274
767,0.95,10.0,35.0,0.95,10.0,700.0,2.277,10.762,28.694
530,0.5,10.0,35.0,2.0,30.0,490.0,1.743,12.001,23.759
407,0.5,10.0,490.0,0.95,10.0,350.0,0.0,0.0,34.75
421,0.5,10.0,490.0,2.0,30.0,350.0,1.068,6.464,25.422
343,0.25,10.0,350.0,2.0,10.0,350.0,0.0,0.0,18.25
347,0.25,10.0,350.0,2.0,30.0,350.0,0.0,0.0,26.25
393,0.95,10.0,350.0,0.95,30.0,350.0,2.361,8.411,32.525
569,0.25,10.0,350.0,2.0,30.0,490.0,0.0,0.0,23.25
355,0.5,10.0,350.0,0.95,10.0,350.0,0.002,0.004,20.043
465,0.5,10.0,700.0,2.0,30.0,350.0,0.734,3.752,28.319
631,0.5,10.0,490.0,0.95,30.0,490.0,0.0,0.0,34.25
603,0.95,10.0,350.0,0.5,30.0,490.0,0.726,0.735,42.749
459,0.5,10.0,700.0,2.0,10.0,350.0,0.363,2.257,23.459
661,0.95,10.0,490.0,0.95,30.0,490.0,1.873,6.077,34.628
577,0.5,10.0,350.0,0.95,10.0,490.0,0.0,0.0,40.75
411,0.5,10.0,490.0,0.95,30.0,350.0,0.002,0.003,20.682
359,0.5,10.0,350.0,0.95,30.0,350.0,0.023,0.033,35.52
904,0.95,10.0,700.0,0.95,30.0,700.0,1.164,2.729,41.012
581,0.5,10.0,350.0,0.95,30.0,490.0,0.002,0.004,26.625
655,0.95,10.0,490.0,0.95,10.0,490.0,1.393,5.076,31.532
591,0.5,10.0,350.0,2.0,30.0,490.0,1.095,7.129,25.311
431,0.95,10.0,490.0,0.5,30.0,350.0,0.62,0.5,42.809
641,0.5,10.0,490.0,2.0,30.0,490.0,0.851,5.481,25.32
383,0.95,10.0,350.0,0.5,30.0,350.0,0.92,0.86,42.735
647,0.95,10.0,490.0,0.5,10.0,490.0,0.06,0.059,40.233
585,0.5,10.0,350.0,2.0,10.0,490.0,0.811,6.062,21.81
565,0.25,10.0,350.0,2.0,10.0,490.0,0.0,0.0,inf
427,0.95,10.0,490.0,0.5,10.0,350.0,0.163,0.141,40.987
441,0.95,10.0,490.0,0.95,30.0,350.0,2.07,6.494,33.803
369,0.5,10.0,350.0,2.0,30.0,350.0,1.246,8.235,23.733
635,0.5,10.0,490.0,2.0,10.0,490.0,0.526,4.021,21.281
651,0.95,10.0,490.0,0.5,30.0,490.0,0.435,0.372,42.621
387,0.95,10.0,350.0,0.95,10.0,350.0,1.879,7.399,29.349
363,0.5,10.0,350.0,2.0,10.0,350.0,0.964,7.102,20.993
599,0.95,10.0,350.0,0.5,10.0,490.0,0.301,0.305,44.694
435,0.95,10.0,490.0,0.95,10.0,350.0,1.515,5.509,29.667
477,0.95,10.0,700.0,0.95,10.0,350.0,1.137,2.817,34.327
627,0.5,10.0,490.0,0.95,10.0,490.0,0.0,0.0,47.0
547,0.95,10.0,35.0,0.5,30.0,490.0,1.63,2.998,38.833
501,0.25,10.0,35.0,2.0,30.0,490.0,0.074,0.354,25.776
403,0.25,10.0,490.0,2.0,30.0,350.0,0.0,0.0,20.5
543,0.95,10.0,35.0,0.5,10.0,490.0,1.259,2.571,36.242
306,0.5,10.0,35.0,2.0,30.0,350.0,1.866,12.947,22.322
515,0.5,10.0,35.0,0.95,10.0,490.0,0.493,1.481,31.793
607,0.95,10.0,350.0,0.95,10.0,490.0,1.7,6.755,30.775
619,0.25,10.0,490.0,2.0,10.0,490.0,0.0,0.0,inf
697,0.95,10.0,700.0,0.95,10.0,490.0,0.988,2.289,38.614
523,0.5,10.0,35.0,2.0,10.0,490.0,1.497,11.056,21.654
613,0.95,10.0,350.0,0.95,30.0,490.0,2.193,7.898,33.57
295,0.5,10.0,35.0,0.95,30.0,350.0,0.861,2.218,33.232
299,0.5,10.0,35.0,2.0,10.0,350.0,1.648,12.051,20.657
702,0.95,10.0,700.0,0.95,30.0,490.0,1.472,3.359,39.994
519,0.5,10.0,35.0,0.95,30.0,490.0,0.717,1.872,35.268
497,0.25,10.0,35.0,2.0,10.0,490.0,0.045,0.249,21.846
623,0.25,10.0,490.0,2.0,30.0,490.0,0.0,0.0,23.0
685,0.5,10.0,700.0,2.0,30.0,490.0,0.48,2.455,29.522
333,0.95,10.0,35.0,0.95,30.0,350.0,2.878,12.631,28.631
327,0.95,10.0,35.0,0.95,10.0,350.0,2.441,11.709,25.533
323,0.95,10.0,35.0,0.5,30.0,350.0,1.783,3.231,37.258
551,0.95,10.0,35.0,0.95,10.0,490.0,2.411,11.353,27.053
399,0.25,10.0,490.0,2.0,10.0,350.0,0.0,0.0,21.25
679,0.5,10.0,700.0,2.0,10.0,490.0,0.108,0.94,18.617
557,0.95,10.0,35.0,0.95,30.0,490.0,2.84,12.093,30.605
415,0.5,10.0,490.0,2.0,10.0,350.0,0.733,5.315,21.066
319,0.95,10.0,35.0,0.5,10.0,350.0,1.32,2.778,33.757
482,0.95,10.0,700.0,0.95,30.0,350.0,1.686,3.901,37.621
379,0.95,10.0,350.0,0.5,10.0,350.0,0.437,0.431,40.748
