,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
avail_offwind [MWh],314663413.177,313480441.511,312557991.749,311276894.99,310797533.618,312670292.668,314625025.488,314628965.215,312658440.273,312586572.872,314465918.53,390906585.8,665257359.235,391111476.997,668056205.416,390586221.045,665541990.733,390441950.542,392345639.855,393521884.8,665301273.934,390959452.741,656135810.82,667435300.963,394434974.858,666483303.876,661540535.562,665117891.778,390815254.918,390935654.343,664516667.481,654132201.593,390276678.465
avail_solar [MWh],276214756.088,272828325.552,270969050.638,269878159.06,269830399.889,272015275.002,277444642.269,277440519.86,271236265.649,270161677.071,274814051.14,517115736.786,910801067.702,514606188.299,909513259.11,517146471.774,910532515.65,516805824.397,511282893.937,508862885.317,910932850.656,513366762.444,910677506.722,910395346.096,507839630.096,910820758.281,911316751.504,910940014.641,517106215.561,515767702.25,911238111.99,912934067.611,516978970.151
used_onwind [MWh],129183564.131,138118313.732,142814620.157,146931814.327,147975101.081,140621135.792,125899781.562,125940348.178,142007893.43,144580258.684,133193450.165,367762481.471,877909149.312,381078605.678,881502061.066,368599170.657,884606068.921,374174502.264,391275192.038,398646224.165,875966139.568,385721016.454,901378645.525,883272116.028,401461793.198,879409490.13,892594951.445,876291829.502,367955637.425,377425441.03,878736821.039,904165908.97,371739701.804
used_offwind [MWh],297903045.983,298672539.648,301283742.476,302575921.242,302641464.138,299015392.81,297250356.782,297265748.083,300372977.805,302398470.282,298503049.958,381506379.521,631772438.824,383133497.67,636793353.106,381088776.612,640513596.721,381847534.953,384583011.262,385736612.006,635957906.519,383447001.186,632342300.092,637464257.405,388170010.585,634063763.253,634993207.672,635823138.942,380700868.655,380412819.688,631882639.851,631944745.86,379406930.349
used_solar [MWh],270046253.059,266964589.871,265558760.975,265055404.34,265123609.937,266275940.62,271112392.869,271074449.989,265701569.939,265069748.084,268747049.433,507571709.741,896456445.585,505119309.516,895288977.61,507661130.181,895884142.934,507006585.91,503073601.845,501658409.081,895676510.169,504211767.191,897438169.163,896386490.607,500365205.175,896538477.072,897683156.254,895645796.585,507924988.946,507195455.561,896901311.966,900003325.183,508246706.54
gas_OCGT_gen [MWh],36029225.7,35160448.2,35027263.8,35260235.1,35499337.8,34690829.4,36364255.8,36364013.7,34675240.5,35104394.1,35663791.5,7343709.6,9810334.5,5821104.9,6614267.7,7320179.4,4322899.5,6540613.2,4251536.7,3399859.8,9794922.6,5350977.6,3800591.4,5609856.0,3284970.6,7779430.2,3758273.4,9560340.3,7343247.0,6223934.1,8734146.3,2929992.6,6903214.2
gas_CCGT_gen [MWh],163905863.4,165135036.3,165323354.1,164993662.2,164655744.0,165799327.8,163432008.6,163432336.5,165821063.4,165214009.8,164422747.2,9869403.9,413130.6,11313322.8,426689.1,9976854.0,454686.9,10500171.9,12845953.2,14587863.6,427755.9,11937235.8,291372.6,457520.7,15215334.3,415348.5,357678.3,425384.4,9873573.6,10798101.9,413636.7,289983.0,10256049.0
coal_gen [MWh],121.8,99.0,108.6,134.7,89.7,105.6,109.5,111.6,156.9,144.6,134.4,1155.6,193.2,1680.0,193.2,1669.8,1969.2,2203.8,1165.2,229.2,1917.6,1331.1,227.7,163.8,1571.7,227.1,204.6,2020.8,909.0,184.8,210.3,246.0,199.2
nuclear_gen [MWh],863.1,603.9,678.0,663.6,398.4,622.2,748.5,693.9,796.5,852.9,872.4,49097.1,58761424.8,48752.1,54701400.6,95675.1,47616419.1,104423.4,49154.7,7202.7,58786688.1,44678.4,33228052.5,50887392.6,42917.7,56610850.2,39349969.2,58687891.5,71867.4,7242.3,58494354.0,28591900.5,14625.3
onwind_gen [MWh],387550692.3,414354941.1,428443860.6,440795442.9,443925303.3,421863407.4,377699344.8,377821044.6,426023680.2,433740776.1,399580350.6,1103287444.5,2633727447.9,1143235817.1,2644506183.3,1105797512.1,2653818206.7,1122523506.9,1173825576.0,1195938672.6,2627898418.8,1157163049.5,2704135936.5,2649816348.0,1204385379.6,2638228470.3,2677784854.2,2628875488.5,1103866912.2,1132276323.0,2636210463.0,2712497727.0,1115219105.4
