,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
ES0 0 offwind-dc,12.583,10.298,11.726,13.164,7.583,12.577,12.148,13.588,16.795,14.933,15.994,154.806,33.477,244.62,41.646,173.882,403.067,203.708,120.44,31.379,372.601,196.356,35.604,34.981,213.264,48.758,37.239,419.438,115.862,22.66,34.769,54.664,20.155
ES2 0 offwind-ac,3.617,2.904,3.882,3.141,2.047,3.127,3.678,3.326,4.359,4.331,3.678,27.38,4.017,35.29,4.718,34.642,41.742,39.522,26.711,6.82,38.374,27.821,5.879,3.818,35.74,5.863,3.571,52.178,22.055,4.44,4.079,7.798,4.743
ES2 0 offwind-dc,6.562,5.688,6.497,7.908,4.843,7.293,6.021,6.86,10.044,8.576,8.589,67.023,23.825,101.464,31.657,74.031,292.439,83.323,46.24,12.612,280.665,76.806,30.032,28.278,84.301,34.267,34.992,296.251,49.641,9.273,26.458,45.473,8.792
FI3 0 offwind-ac,1054.382,630.749,1274.8,1795.0,950.79,783.643,1004.003,1069.33,1321.054,2188.599,1044.418,6005915.472,12124908.97,3459157.211,11692572.24,5768779.43,10668662.918,4221282.039,3950967.173,4190134.675,11973681.469,3502244.037,11040597.414,11132319.411,4467053.661,11841546.179,10701280.571,11948490.878,6009184.226,3730936.069,12004703.268,10455818.783,4898820.533
FI3 0 offwind-dc,13311171.13,13303724.195,13113754.52,12916384.906,12912172.764,13252837.874,13315904.85,13317008.086,13181637.118,12885125.592,13306552.526,14867666.22,16318091.431,17582715.723,17882183.397,15136997.303,19165767.279,16743455.035,16756508.772,16735999.186,16584722.676,17475439.454,19361917.178,18544761.413,16589381.476,17685011.43,19566062.731,16663931.902,14856951.383,17247202.349,17005710.399,20053365.962,15992955.036
FR0 0 offwind-ac,60839314.356,61233422.56,61720157.395,62104341.95,62184422.678,61422569.888,60693780.368,60707162.233,61595771.6,61893885.363,60992746.082,61767737.753,60315158.421,62096543.523,60416678.238,61703775.738,61783291.044,61962245.952,61932898.751,61702949.677,61715638.854,62167962.686,60768329.268,60512191.188,62393506.295,60254953.451,60652254.308,61699877.521,61468154.161,61089510.114,60477652.284,60955861.465,60989280.735
FR0 0 offwind-dc,26328644.864,26367383.009,26391740.331,26421729.677,26425960.811,26383965.676,26316881.234,26312706.988,26388788.747,26402430.767,26338308.222,26269723.618,26418634.618,26222932.219,26415458.75,26280726.171,26181414.345,26216047.571,26339677.842,26401284.828,26161532.455,26246074.109,26423307.259,26417879.255,26310626.769,26424244.65,26416989.182,26166780.674,26317727.778,26382184.879,26411404.758,26419219.508,26377286.617
GB4 0 offwind-ac,74.855,58.238,56.586,56.497,40.587,61.527,63.989,75.383,82.765,64.399,83.387,788.064,574.675,1015.076,1114.849,1006.053,12601.002,1245.953,610.521,128.58,7304.374,815.293,5560.291,920.532,861.989,953.885,1464.78,8393.52,647.848,109.888,851.858,1549413.219,124.704
GB4 0 offwind-dc,2761904.329,2541273.214,1954396.443,992163.097,660735.161,2396286.119,2791925.817,2786476.575,2253193.868,1439429.877,2684615.243,1866142.882,12302589.071,1448555.918,12303354.881,1660322.703,12043639.755,1422650.06,1086625.886,696202.881,12010612.257,1369789.556,12360719.985,12298682.851,459219.294,12323910.449,12316599.324,12011752.314,1884836.276,1502863.837,12272410.573,12341886.368,1533383.667
GB5 0 offwind-ac,110.204,79.736,83.669,74.183,50.416,80.463,99.69,107.782,101.594,95.448,117.374,1139.828,1112.702,1487.101,3553.922,1538.029,33656.775,1828.312,817.703,152.727,11498.689,1230.948,2832.917,2994.852,1004.524,3247.73,2831.724,12517.981,937.517,162.209,1700.458,3361.256,190.118
GB5 0 offwind-dc,74.1,56.06,65.403,66.307,43.901,58.398,67.017,72.222,77.771,80.526,77.532,796.928,68628835.518,1165.899,68718478.819,1079.517,63770652.871,1316.258,707.439,138.922,70208029.03,1013.432,45033819.812,66578695.603,929.542,67842139.173,54199340.576,69667437.915,651.239,124.413,67040818.304,40540797.117,132.525
GR0 0 offwind-ac,5.855,4.546,5.267,5.633,4.121,4.971,5.113,5.514,6.466,6.512,6.231,61.117,16.578,75.634,16.315,83.243,155.205,106.052,61.402,12.286,163.644,70.162,20.524,13.708,83.087,18.69,16.596,173.399,50.294,9.87,16.801,22.562,10.578
GR0 0 offwind-dc,12031670.273,12012615.403,11866596.414,11955295.0,11973181.602,12003686.345,12023763.605,12030717.745,11860879.066,12008474.544,12050338.626,16588348.56,16419783.751,16667228.101,16422325.792,16586238.004,16584288.274,16657359.179,16619148.28,16575253.678,16635581.237,16673652.769,16420311.288,16418653.627,16740907.747,16422005.887,16407619.048,16630201.236,16537878.42,16443021.527,16431988.084,16439802.302,16426611.419
HR0 0 offwind-ac,9.651,7.324,7.663,7.096,5.196,7.514,8.559,9.001,9.711,8.872,10.054,90.08,25.766,108.314,26.723,124.588,249.053,157.699,87.362,18.092,263.215,94.037,33.898,21.259,121.717,30.33,24.247,283.595,74.248,14.508,26.782,38.376,15.966
HR0 0 offwind-dc,8.579,6.553,6.79,6.443,4.524,6.782,7.774,7.535,8.949,7.911,8.918,81.589,17.885,97.066,20.56,113.78,180.111,142.4,77.681,16.772,195.535,77.497,26.383,16.254,110.941,22.604,16.415,221.974,67.448,13.364,20.062,31.82,14.706
IE4 0 offwind-ac,150.933,114.07,115.463,97.106,72.768,116.397,137.042,162.507,149.882,123.249,161.915,2925.413,262.721,3851.388,260.485,3582.018,2460.771,4562.275,1840.008,323.349,2667.61,3080.379,257.73,214.567,2036.252,305.807,230.537,2735.898,2413.523,416.689,280.996,279.727,417.418
IE4 0 offwind-dc,744204.369,745283.124,745024.089,747154.463,747509.684,745729.908,745630.71,743833.726,746518.452,746574.307,744454.289,700588.826,734387.192,697889.348,724317.52,718529.419,690634.22,705688.644,722280.175,739375.07,685329.968,701172.778,736404.092,726049.47,702235.221,735270.473,733251.53,686487.831,719734.873,740673.823,728214.519,732859.546,745235.836
IT0 0 offwind-ac,9.674,7.24,8.57,7.98,5.538,7.786,8.52,9.189,9.884,9.925,10.292,221.845,53.028,328.211,52.476,299.541,525.427,386.168,225.528,43.94,527.744,293.869,59.474,43.191,285.448,61.215,53.634,555.519,182.484,36.053,56.986,63.67,38.196
IT0 0 offwind-dc,10.825,8.181,8.261,8.148,5.354,8.312,9.925,9.49,11.346,9.698,10.973,407.334,65.132,645.091,77.587,542.335,630.048,719.61,428.801,81.615,755.373,538.629,69.383,57.862,493.051,80.665,50.056,846.785,331.133,70.279,74.872,83.885,68.973
IT1 0 offwind-ac,14.023,10.996,12.278,13.348,9.165,11.935,12.843,12.179,16.144,14.798,14.907,176.157,29.045,238.899,37.188,243.32,318.602,308.276,169.117,37.62,339.072,188.262,40.87,30.168,250.368,39.449,28.081,410.484,145.379,29.322,37.954,53.083,30.591
LT6 0 offwind-ac,50.802,40.558,42.157,53.184,27.536,42.044,45.579,50.032,73.459,50.794,59.135,670.09,107.295,939.155,157.534,866.315,1389.819,1120.02,612.374,150.152,1306.032,758.739,152.278,114.072,1013.581,148.653,113.615,1652.691,526.161,103.403,129.351,241.858,101.31
LT6 0 offwind-dc,1633502.031,1588073.158,1571663.037,1579641.47,1591610.445,1565539.22,1643534.935,1643722.211,1566695.866,1571863.766,1616016.237,2906169.065,2815425.227,2905615.843,2832894.684,2908655.994,2895513.548,2902005.677,2921413.092,2912322.475,2882204.645,2910640.86,2854163.918,2842028.561,2917900.492,2814458.466,2850498.261,2882488.574,2910548.88,2897383.614,2829174.305,2858205.18,2890879.407
LV6 0 offwind-ac,53.88,40.518,62.798,60.603,50.837,45.947,41.746,51.776,60.169,71.904,52.059,711.766,137.075,1095.854,145.572,969.912,1436.569,1264.354,699.417,143.504,1418.922,935.486,172.045,122.543,978.595,167.49,132.759,1516.041,586.19,118.027,156.613,191.089,124.451
LV6 0 offwind-dc,174.73,160.238,208.909,247.54,207.793,174.484,132.846,163.178,236.49,284.621,215.226,946112.478,3430438.43,1041808.383,3601259.787,958480.514,3906437.328,1009645.019,1114643.328,1287399.592,3460306.016,1027277.975,4098927.099,3780530.503,1355295.58,3434797.998,3897659.524,3453030.363,954069.435,1039632.746,3404807.607,4242140.422,1004906.286
ME0 0 offwind-ac,1.716,1.333,1.385,1.448,0.901,1.333,1.646,1.628,1.99,1.642,1.831,15.366,2.631,18.572,3.39,20.33,30.508,23.739,15.025,3.916,27.657,14.639,4.321,2.667,21.761,3.573,2.597,34.657,12.171,2.571,2.98,5.826,2.8
NL0 0 offwind-ac,117.263,89.648,103.474,105.676,74.744,95.341,105.631,112.302,130.083,128.093,128.588,1757.125,22466510.121,3452.208,23169107.725,2421.363,24296794.541,3409.556,2763.795,702.713,23650919.905,3154.489,23726490.613,23381193.557,5326.089,22817430.55,23606534.731,23617683.066,1457.479,340.213,22583283.604,23840417.177,321.258
NL0 0 offwind-dc,121.896,87.668,100.068,94.927,69.534,93.233,117.989,126.762,127.614,123.434,132.594,8908188.272,92048049.42,10285952.517,90793206.542,8617514.456,89290659.019,8900956.459,12775246.525,14628053.195,91072009.779,11166419.527,91380971.751,90818187.229,15999308.289,91103822.854,90562050.902,91431843.352,8611232.986,9150880.54,92154856.447,90037927.026,8233162.814
NO3 0 offwind-ac,24.206,18.516,21.966,22.856,15.235,20.406,21.646,23.541,27.276,25.555,27.119,302.161,98.807,453.485,95.287,410.073,989.988,526.529,299.832,60.416,960.545,396.139,115.999,81.64,410.154,111.389,104.648,1025.793,249.14,49.056,106.176,126.788,52.221
NO3 0 offwind-dc,71.79,56.159,65.824,66.72,47.821,61.539,62.897,63.565,82.428,80.004,82.467,7062712.455,14563774.818,6105197.886,14563562.112,7048952.039,14557688.964,7017654.334,4830814.196,4399629.914,14555826.143,5468204.227,14563781.05,14563641.023,4263897.231,14564000.185,14563718.12,14556184.518,7063961.758,6776327.03,14563581.308,14563842.849,7059810.7
PL0 0 offwind-ac,8959031.614,9004749.879,9245709.954,9650871.017,9790540.904,9090849.737,8878984.999,8888672.825,9033463.773,9534022.072,9075566.181,16683912.635,14994602.421,17001980.12,15375270.485,16642014.277,16438159.707,16921991.333,16945767.963,16871269.512,15918424.677,17065941.605,15958555.473,15540231.22,17179715.113,15108853.16,15890424.713,15894633.589,16487818.641,16402521.469,15021686.188,15995899.608,16323413.088
PL0 0 offwind-dc,15040085.405,15050253.11,15060343.675,15082605.408,15083277.521,15055284.911,15045035.05,15038955.161,15065905.902,15069129.121,15043951.561,14956486.427,15044268.099,14932037.469,15041023.078,14972451.385,14817056.42,14921834.118,15027807.478,15078707.926,14699267.771,14957920.675,15060867.991,15044728.963,15003399.393,15054279.456,15055392.564,14708951.846,15009578.117,15073185.789,15027733.955,15055283.398,15079348.883
PT0 0 offwind-ac,7719772.562,7767965.816,7913153.463,8050245.995,8070337.233,7793095.067,7683742.041,7698088.501,7849238.749,7982857.973,7740582.145,8117983.695,2821083.485,8172775.723,3287257.413,8104846.732,7091353.362,8153934.758,8118914.992,8066018.703,2964032.605,8176291.516,8146751.848,4793221.794,8193842.305,2773965.989,8127648.424,2975909.016,8073993.408,7989992.294,2695145.987,8169472.037,7955162.023
RO0 0 offwind-ac,3839481.617,3804673.655,3635818.91,3248408.925,3042204.095,3683379.605,3838655.566,3834554.417,3650429.873,3493156.214,3791927.519,9479356.579,11721365.578,9420703.147,11724724.84,9463123.454,11761604.444,9442750.761,9438465.716,9344775.501,11755673.172,9417126.942,11758207.697,11721697.025,9237458.09,11721686.474,11725271.337,11752859.767,9467856.88,9443383.085,11711319.872,11763464.338,9478303.41
RO0 0 offwind-dc,4870011.656,4884771.978,4922158.217,4956179.623,4977621.204,4893225.712,4861755.799,4867451.733,4898031.383,4934955.416,4878085.511,5211985.421,5188203.815,5228293.848,5198679.955,5206861.496,5266843.391,5226061.57,5211978.352,5181174.653,5261311.764,5228587.617,5196678.952,5197161.693,5247233.21,5185275.271,5194176.423,5262073.625,5192982.1,5135722.156,5199364.269,5202948.53,5117010.773
SE3 0 offwind-ac,65.094,52.117,60.953,58.242,48.903,57.53,59.152,64.187,76.875,75.428,74.377,639.772,146.774,974.667,142.99,864.53,1442.007,1098.453,588.375,121.047,1463.895,830.46,162.246,120.266,819.016,156.033,149.058,1535.71,525.436,102.334,157.778,174.731,109.73
SE3 0 offwind-dc,13869287.879,13880234.122,13871834.822,13816975.841,13792456.559,13827806.565,13860566.557,13859500.689,13851625.482,13940741.327,13868802.275,31570404.361,51173820.123,31865604.665,51835178.929,31704209.097,52866111.517,31700177.22,32765799.188,32705127.348,51293783.382,31998418.047,54185554.443,52131010.806,32753249.09,51344865.757,53710234.426,51312160.671,31574708.035,31774441.934,51170556.403,54937031.571,31720482.843
SI0 0 offwind-ac,2.132,1.589,1.709,1.706,1.074,1.632,1.996,1.987,2.314,2.013,2.234,17.412,3.758,22.518,4.674,21.959,42.296,24.257,16.765,4.255,37.869,17.556,5.37,3.682,22.756,5.467,3.69,46.998,13.871,2.788,4.126,7.451,3.049
AL0 0 solar,325382.428,301044.275,279429.474,193163.751,167334.74,285164.378,340592.727,340272.956,294189.763,226345.83,319201.638,2093150.336,6394271.265,2072136.243,6380247.727,2097768.691,6070161.571,2090226.621,2122905.406,2140831.116,6354532.294,2064704.504,6413607.144,6243685.896,2188780.149,6376311.844,6218973.927,6354718.107,2097450.127,2085735.453,6381355.555,6416676.771,2118044.908
AT0 0 solar,6562360.571,6625533.468,6497365.789,6927638.334,6936053.48,6703664.73,6456639.984,6454474.706,6515584.506,6717024.094,6587733.927,18278444.431,26203365.674,18230464.499,26192050.552,18217221.697,25553810.606,18200760.342,18202872.425,18246997.897,26135118.065,18261885.391,22952965.866,25926182.68,18236652.134,26212670.348,24002068.904,26115609.603,18295384.889,18255511.234,26098398.464,22671204.203,18189834.896
BA0 0 solar,169529.242,37117.351,258.969,119.531,72.034,871.358,207910.976,207362.46,466.948,206.149,121714.969,2415970.429,2924047.242,2424797.97,2921639.97,2415590.494,2930260.649,2400243.057,2464740.396,2531349.136,2951141.205,2452903.923,2976185.596,2902733.251,2528361.175,2928316.923,2905722.714,2951968.311,2420318.14,2414395.035,2926222.112,3003959.235,2411947.009
BE0 0 solar,26.463,20.318,24.167,22.123,15.632,22.058,23.46,25.269,27.375,27.508,28.758,3799513.522,9414225.818,3891533.641,8801515.733,3805783.333,8217873.812,3901167.962,3728524.086,3520856.129,9370912.315,3774104.358,7817477.278,8554289.26,3439475.578,9028214.058,7923734.869,9355184.631,3808726.482,3944747.832,9306942.36,7748924.052,3880881.817
BG0 0 solar,2247214.542,2167690.166,2235459.289,1780111.696,1779072.742,2233591.895,2231573.879,2232125.17,2200181.603,1950060.663,2209506.664,8241568.546,19257905.367,8205358.002,19245108.032,8243015.949,19172705.823,8234739.927,8419127.407,8731045.819,19182132.306,8207407.454,19447486.331,19236106.519,8888517.623,19267661.822,19370023.878,19198276.641,8250146.242,8219717.209,19260628.525,19465122.875,8243116.279
CH0 0 solar,13814003.352,13777853.773,13605493.205,13812971.811,14031339.279,13626443.47,13764826.598,13763193.593,13593862.261,13599868.62,13847074.814,18473728.637,28285605.504,17761825.924,27825337.432,18324675.191,27933819.391,17985274.516,17932491.675,18077414.881,28269319.275,17742423.674,27004667.53,27893097.781,18064188.055,27911833.275,27998460.751,28280506.057,18490981.652,17849707.752,28158855.197,26990398.724,18235649.113
CZ0 0 solar,34.507,26.204,32.6,32.589,23.133,28.623,30.21,32.606,36.265,39.163,36.482,4299379.307,3666526.599,4398907.065,3825925.987,4282991.974,4435428.603,4390350.252,4348660.651,4409928.476,3665744.876,4346148.257,5678895.636,4101897.581,4390787.956,3727716.99,5033448.643,3674484.95,4307335.02,4389800.842,3634062.798,6144261.266,4358034.489
DE0 0 solar,16.532,12.917,16.862,17.063,12.377,14.348,14.444,15.555,18.452,20.138,17.917,14347031.869,29901503.931,14941234.409,29708984.591,14315687.311,30551606.21,14782435.029,14463088.678,13387949.129,29885379.901,14926436.386,30609478.137,29908050.506,12599604.032,29736406.281,30799034.609,29861704.262,14355358.262,14950587.695,29791299.335,30645205.637,14690246.908
DK0 0 solar,20.212,15.786,19.953,20.743,14.544,17.471,17.67,19.09,22.491,24.497,22.042,1498.904,4132453.937,7734.266,3959155.02,2031.372,3862285.87,2879.347,2004.113,241.02,4089310.212,4568.957,3390833.131,4071290.858,1346.57,3964390.404,3800285.563,4092064.987,1225.962,541.141,4162586.763,3143899.772,270.248
DK3 0 solar,20.165,15.757,19.258,19.642,13.832,17.191,17.723,18.561,22.355,23.293,21.844,751.693,1950786.465,1896.805,2213816.394,1042.404,2199240.302,1498.735,972.834,153.352,1915539.124,1524.763,2031437.147,2225164.188,973.706,2086697.215,2160479.395,1928539.803,622.187,187.306,1944191.809,2038662.708,151.065
EE6 0 solar,32.787,25.775,32.134,31.145,22.558,28.86,28.788,31.176,36.771,37.766,35.911,777522.06,2182898.321,884075.043,2170747.194,791985.422,2206909.605,829483.975,861895.269,853892.999,2168056.261,891742.72,2298541.507,2187389.901,839733.434,2196424.797,2287565.789,2170453.15,781606.274,852371.136,2199260.054,2301369.43,822695.737
ES0 0 solar,28671809.4,28821798.943,30375089.954,33694676.006,34621965.417,29098329.528,28952153.835,28940708.079,29651162.341,32151895.531,28868824.186,68821156.508,165550591.037,69168778.077,165122501.3,68836635.239,163816151.435,68829401.359,70065199.132,69550600.875,165646470.663,69536889.982,164084949.421,164288558.386,69299011.715,165768152.3,163863671.119,165701337.118,68890122.238,69076393.64,165517748.156,165794203.289,68973401.122
ES2 0 solar,402100.714,405156.71,457758.424,446112.923,439369.092,442678.174,421818.569,422753.815,457639.791,488471.092,390014.674,1343769.975,4521783.866,1347965.899,4521620.459,1343350.529,4519357.301,1354340.828,1408444.996,1545917.65,4519519.826,1386978.537,4521775.268,4521620.353,1622506.058,4521798.119,4521487.746,4519649.957,1344186.746,1349627.083,4521722.839,4521546.937,1353973.246
FI3 0 solar,15.931,12.374,15.748,15.697,11.228,13.702,13.933,15.069,17.567,18.804,17.308,273.251,944735.26,415.398,866380.63,372.394,763836.614,471.168,249.437,46.663,941619.647,345.893,509791.635,800828.017,306.755,874232.298,627945.996,933245.765,225.342,43.949,901215.431,462022.565,48.278
FR0 0 solar,729752.172,121921.544,282.832,180.906,122.841,488.691,1025386.367,1024220.998,376.882,222.068,538658.95,35645675.002,67412632.144,35962956.309,66699877.37,35675513.42,66471133.749,35806239.873,36070576.811,36074373.393,67365641.565,36046558.123,68479787.604,66631989.539,36121917.874,67078352.949,66908807.341,67384860.219,35658775.39,35897931.745,67393173.499,67966792.753,35742368.869
GB4 0 solar,17.187,13.761,16.865,17.323,12.774,15.179,15.178,16.436,19.671,20.204,18.874,300.424,100.34,415.743,112.156,421.466,883.235,522.166,264.908,50.966,1059.495,345.3,93.915,85.818,360.614,133.817,91.728,1207.062,248.886,48.624,128.374,95.116,53.078
GB5 0 solar,19.188,15.945,19.376,20.65,15.236,17.634,16.414,17.674,22.079,24.094,20.798,6091179.052,6729047.646,5265004.023,7485814.225,6199997.154,8224177.674,6110175.667,3362812.643,2079054.372,6669766.819,4653204.021,4999640.665,8309645.063,1328307.805,8320058.143,6678062.755,6587644.911,6118629.194,5704077.452,8296160.774,4334566.935,6008966.059
GR0 0 solar,1411275.813,1422107.028,1653800.622,2192317.979,2326670.125,1472360.205,1391532.012,1392106.666,1588661.318,1838553.635,1427580.474,9527026.494,35513932.96,9516964.614,36197204.351,9548361.665,37691734.278,9466753.423,9550602.773,9384468.031,35460121.966,9548225.094,39300017.418,36950052.408,9240839.131,35598955.992,38679787.609,35494701.263,9554842.699,9574401.376,35508857.825,39545245.975,9595240.072
HR0 0 solar,58.451,43.695,46.773,39.808,27.049,45.87,52.036,56.436,56.144,52.255,62.694,2275833.521,3734677.153,2399370.573,3720251.85,2262700.676,3696256.457,2337671.801,2431445.419,2435898.523,3723611.512,2417451.582,3761178.219,3686863.336,2463546.096,3741919.053,3707105.239,3720670.838,2266111.507,2398595.602,3742043.882,3766562.866,2297341.009
HU0 0 solar,53.704,38.386,44.302,39.664,27.109,40.019,48.65,52.846,50.347,50.894,56.257,174598.43,771.563,20165.262,993.795,150937.865,18702.533,49734.316,82347.989,69948.881,8179.558,21198.478,1851.231,1163.143,93664.206,1011.837,1619.595,8348.455,172517.663,2959.94,840.771,2609.38,108501.496
IE4 0 solar,115.262,73.951,63.72,43.297,29.008,79.54,108.593,121.882,77.349,57.539,119.232,2538828.839,3353825.056,2260427.738,2769075.059,2511034.455,2562188.4,2353913.453,2227943.483,2214292.428,3313755.365,2245354.781,2027651.161,2688473.061,2170589.307,3000766.131,2394023.719,3277098.187,2549047.771,2367774.241,3195518.085,1777870.068,2490140.352
IT0 0 solar,43086079.973,41521766.62,38897466.533,35762319.387,34880516.595,40627942.499,43715281.157,43716184.445,39778162.248,37109187.707,42390199.748,116504232.568,241118129.143,115423591.834,241449710.381,116710231.963,242654640.878,116523782.533,114977733.75,116261730.036,241377520.265,114929567.134,248340440.711,241604470.865,116981859.07,240998526.773,245025335.955,241394187.122,116453377.23,115985992.439,240692564.708,251203176.381,116598186.55
IT1 0 solar,3953603.584,4035800.495,4279801.518,4603851.474,4682189.398,4123719.433,3914909.996,3913484.371,4178171.64,4446872.419,3964445.662,6027710.682,9696381.459,5964045.437,9715132.214,6030827.34,9761065.728,6020060.981,5455126.021,5312798.366,9618056.089,5851715.236,9388664.913,9820144.047,5278962.072,9694299.858,10019099.602,9619156.981,6050284.667,6096455.414,9691908.695,9359066.259,6088739.381
LT6 0 solar,17.611,13.682,17.59,17.468,12.497,15.205,15.416,16.657,19.543,20.975,19.147,670.449,2956.998,1077.217,1528.933,898.389,12492.996,1141.458,652.236,127.635,22245.313,948.17,810.915,1409.31,864.14,1385.741,1151.627,22837.312,549.114,107.027,1651.247,877.849,116.579
LU0 0 solar,17.12,13.342,15.093,16.948,10.597,14.017,15.769,14.144,21.193,18.724,17.562,564544.612,2152803.878,595562.835,2156003.108,571593.798,2006722.539,578163.59,692685.317,725977.32,2128735.774,608502.121,1779819.648,2138657.637,760870.25,2152347.749,1894361.959,2130210.094,566672.416,600028.222,2151855.576,1702341.774,578784.63
LV6 0 solar,23.7,18.493,22.351,22.722,16.049,20.447,20.809,22.515,26.201,26.937,25.877,710445.297,1104095.121,651247.476,1094583.292,707265.5,1040396.622,649082.493,606172.603,483456.808,1083561.954,669546.6,972756.841,1080846.264,412293.589,1064861.893,1039102.304,1084504.362,710424.34,648912.332,1076538.508,961119.155,667512.316
ME0 0 solar,1016447.51,973142.298,846215.989,705597.402,668494.963,916256.259,1022663.98,1023005.404,883809.651,786934.841,1007609.548,1190307.565,3264438.974,1151626.643,3230568.246,1186342.021,3069159.426,1185841.667,1194084.541,1243527.091,3261303.827,1141226.574,2997509.339,3210294.439,1291280.32,3263072.02,3000519.942,3261549.343,1186581.952,1158402.684,3239266.95,2977793.985,1184654.571
MK0 0 solar,1365327.276,1346830.966,1258284.292,1059038.156,997085.909,1270541.67,1369515.128,1368655.533,1243316.634,1125494.723,1355987.784,1868147.059,5013170.537,1807593.773,5019282.508,1878017.941,5125648.45,1861560.858,1685100.544,1822355.669,4982013.576,1748098.979,4938797.839,5041835.94,1873150.002,5034751.049,5180019.743,4980621.457,1877637.039,1861638.753,5021015.017,4903395.11,1908220.843
NL0 0 solar,24.719,18.629,22.566,21.073,15.061,20.487,22.188,23.92,25.342,26.053,26.672,3542698.425,15548770.139,3383407.848,15680156.705,3587784.253,14784678.307,3498452.715,3048284.491,2935847.617,15489925.948,3273210.744,13767543.416,15468604.225,2880291.575,15725640.974,14296239.952,15487160.646,3560717.441,3517698.447,15657415.84,13360483.245,3572694.109
NO3 0 solar,14.077,11.072,14.144,14.188,10.237,12.223,12.336,13.355,15.757,17.179,15.554,163.433,64.89,243.544,63.25,221.476,656.239,284.86,166.609,33.496,656.179,218.465,77.105,53.973,228.67,73.397,70.757,686.422,134.85,26.536,69.977,82.656,28.275
PL0 0 solar,18.63,14.438,18.506,18.348,13.175,15.923,16.32,17.589,20.421,21.978,20.104,3371322.932,15234886.054,3162416.715,14675249.57,3235713.113,15408831.739,3106802.517,3399625.511,3265792.771,15192062.708,3288628.025,15319300.904,15149117.847,3216492.691,14938173.458,15716913.807,15196796.158,3385077.157,3182890.614,15281613.823,15105920.134,3154969.139
PT0 0 solar,105.938,82.677,87.944,83.587,61.301,87.436,91.65,99.209,104.683,96.692,115.235,197673.117,1686671.573,153408.756,1783319.437,210666.546,1653610.489,157211.034,19152.518,1596.253,1673804.842,89975.819,1727766.905,1774627.176,7848.722,1701240.258,1699440.533,1662864.287,198976.598,178063.43,1692613.681,1750939.013,211928.635
RO0 0 solar,25.491,19.803,25.614,25.716,18.676,22.124,22.329,24.068,28.368,30.32,27.619,474.851,1553014.528,716.531,1634030.466,639.469,1637576.352,818.201,476.161,100.721,1557891.598,612.84,1784365.845,1671951.194,694.593,1582056.221,1797874.751,1563366.659,389.327,74.647,1555218.164,1818035.834,81.501
RS0 0 solar,40.57,31.822,39.248,37.954,26.939,34.993,35.221,38.05,44.305,46.602,44.111,471.182,1028744.679,698.572,1027230.283,646.355,1051299.622,821.325,508.639,107.562,1035677.423,581.517,1181913.083,1023000.007,773.759,1044452.229,1105731.393,1041029.134,390.371,75.099,1042930.652,1184429.511,81.161
SE3 0 solar,28.747,22.149,27.76,28.234,20.214,24.302,25.124,27.237,31.088,33.891,31.447,755.394,1153730.586,1337.039,1208318.391,1052.334,1149020.144,1420.78,678.808,120.037,1196090.088,1101.826,938470.66,1146285.372,783.733,1094877.373,1052877.107,1173948.804,625.657,136.921,1038613.431,961735.302,143.922
SI0 0 solar,26.777,20.635,22.105,20.201,12.834,21.285,23.938,25.655,27.486,25.691,28.983,398.394,142.901,664.842,158.175,533.703,1398.308,710.43,418.949,81.669,1501.797,564.931,166.636,122.272,560.232,176.065,120.786,1623.889,325.232,66.872,163.751,188.397,69.849
SK0 0 solar,1806648.464,1646384.186,1566296.337,1388588.798,1292632.537,1623777.3,1825942.962,1824700.08,1603886.465,1514748.729,1739885.989,4852928.742,5933780.97,4619330.337,6115200.339,4894582.189,6084870.472,4846175.356,4531269.081,4481738.495,5929252.715,4584649.287,6095871.388,6248497.066,4510424.608,6007421.195,6085976.091,5931754.741,4852652.475,4783154.127,5938276.23,6081008.77,4896569.925
AL0 0 solar rooftop,1049412.079,1045891.077,1039612.034,1038859.779,1037325.785,1045204.227,1050141.809,1049682.174,1043184.851,1040421.568,1048394.722,1073795.105,1083930.983,1069392.539,1083184.341,1075293.44,1077566.082,1070074.714,1078789.32,1083380.407,1076163.779,1070200.849,1083663.69,1083533.902,1076091.837,1084058.446,1083795.849,1075744.226,1078628.398,1083145.359,1083618.065,1083538.037,1083801.476
AT0 0 solar rooftop,2639554.623,2644765.946,2647549.117,2638966.698,2644977.315,2647219.921,2640254.875,2639718.273,2647015.695,2640872.586,2641305.517,2698568.491,2716195.221,2697147.341,2715429.041,2698820.545,2705732.445,2696365.923,2697849.169,2707038.342,2702258.374,2698652.4,2716221.828,2715710.795,2706201.053,2716415.721,2716196.672,2701693.393,2700039.678,2701341.301,2715804.633,2716002.28,2701321.14
BA0 0 solar rooftop,1384431.115,1381267.208,1377843.214,1376026.532,1375917.293,1378534.073,1385472.985,1384856.576,1378452.772,1375646.547,1381907.26,1396236.65,1399868.076,1394738.421,1399151.788,1396525.326,1394388.735,1394728.68,1397733.887,1399925.346,1393015.642,1395082.637,1399643.657,1399495.155,1396353.304,1399935.897,1399738.769,1392649.343,1397817.798,1399898.467,1399553.76,1399505.118,1400143.707
