,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
HU0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001
IE4 0 X Discharge,0.001,0.0,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.002,0.002,0.002,0.001,0.0,0.0,0.002,0.002,0.002,0.007,2.66,0.935,0.287,0.003,0.007,1.744,0.01,0.629,0.266,0.002,1.203,1.635,0.009,0.563,0.008,0.036,2.56,1.787,2.682,0.005,0.234,0.548,0.015,0.597,0.004,0.007,0.457,0.096,0.672,0.002,0.093,0.323,1.52,0.03,2.037,0.002,1.613,0.09,2.238,0.722,0.003,0.016
IT0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001
IT1 0 X Discharge,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001
LT6 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.006,0.002,0.024,0.003,0.001,0.0,0.013,0.017,0.002,0.0,0.003,0.004,0.023,0.023,0.019,0.025,0.004,0.001,0.001,0.001,0.024,0.024,0.03,0.002,0.007,0.017,0.024,0.003,0.019,0.001,0.033,0.027,0.001,0.002,0.0,0.001,0.001,0.002,0.001,0.013,0.001,0.002
LU0 0 X Discharge,0.31,0.0,0.003,0.504,0.251,0.203,0.276,0.113,0.05,0.0,0.165,0.49,0.352,0.532,0.019,0.0,0.0,0.232,0.462,0.268,0.001,0.007,0.001,0.001,0.001,0.001,0.0,0.001,0.002,0.0,0.404,0.002,0.003,0.001,0.002,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.0,0.002,0.001,0.001,0.002,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.002,0.001,0.001
LV6 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.008,0.002,0.024,0.003,0.001,0.0,0.013,0.017,0.002,0.0,0.003,0.004,0.023,0.023,0.019,0.025,0.005,0.002,0.001,0.001,0.025,0.024,0.03,0.002,0.007,0.017,0.024,0.003,0.019,0.001,0.033,0.027,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.013,0.001,0.002
ME0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.001
MK0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.002,0.002,0.001,0.001,0.0,0.001,0.002,0.0,0.0,0.002,0.003,0.001,0.002,0.001,0.002,0.002,0.001,0.0,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.0,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.001,0.0,0.002,0.0,0.002,0.001,0.002
NL0 0 X Discharge,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.002,2.109,0.004,0.002,0.001,0.002,0.001,0.001,0.004,0.0,0.0,0.006,0.01,0.001,0.005,0.001,0.002,0.655,0.007,3.019,0.002,0.002,0.005,0.002,0.003,0.001,0.001,0.004,0.0,0.006,0.001,0.002,0.003,0.001,0.003,0.004,0.001,0.001,0.004,0.018,0.005,0.001,0.003
NO3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001
PL0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.017,0.002,0.031,0.004,0.001,0.0,0.016,0.02,0.003,0.0,0.003,0.004,0.028,0.03,0.022,0.032,0.008,0.002,0.002,0.001,0.031,0.029,0.038,0.002,0.008,0.02,0.029,0.004,0.023,0.001,0.041,0.034,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.017,0.001,0.002
PT0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.003,0.002,0.001,0.002,0.001,0.001,0.002,0.0,0.0,0.004,0.005,0.001,0.003,0.001,0.001,0.006,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.0,0.001,0.002,0.0,0.003,0.001,0.002,0.002,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003
RO0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.0,0.002,0.001,0.002,0.002,0.0,0.002,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.002
RS0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.002,0.002,0.001,0.002,0.0,0.001,0.002,0.0,0.0,0.002,0.003,0.001,0.002,0.001,0.002,0.002,0.001,0.0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.0,0.003,0.001,0.002,0.002,0.001,0.002,0.0,0.001,0.0,0.002,0.0,0.002,0.001,0.002
SE3 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.008,0.004,0.024,0.004,0.002,0.001,0.015,0.017,0.002,0.0,0.005,0.006,0.026,0.024,0.022,0.028,0.005,0.002,0.001,0.002,0.025,0.026,0.035,0.003,0.008,0.02,0.024,0.003,0.022,0.002,0.036,0.027,0.001,0.004,0.001,0.002,0.001,0.004,0.001,0.016,0.002,0.004
SI0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.002,0.0,0.001,0.001,0.001
SK0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.001
AL0 0 onwind,0.802,1.202,1.289,1.1,1.055,0.912,1.226,1.241,0.887,1.311,1.306,1.262,1.027,1.278,1.292,1.192,1.003,1.019,1.102,1.004,19.937,28.77,16.434,12.576,17.979,15.198,2.342,7.756,10.697,1.27,1.06,22.45,21.272,13.349,13.757,15.571,14.086,16.74,6.703,2.829,13.729,14.817,16.882,17.143,16.703,15.505,10.806,14.284,1.791,14.662,22.898,17.762,15.566,4.689,22.989,2.32,30.795,3.31,24.881,2.897,10.462,16.166,26.728
AT0 0 onwind,6.29,9.487,10.133,8.542,8.235,7.136,9.577,9.752,6.938,10.309,10.235,9.8,8.151,10.021,10.159,9.368,8.918,7.99,8.593,7.844,226.585,415.043,289.316,148.962,209.056,267.274,36.868,87.784,125.51,14.311,8.264,334.175,340.613,154.894,173.782,196.336,172.674,249.509,117.962,39.868,250.502,165.546,189.831,198.501,252.828,178.177,128.905,161.381,20.13,163.907,330.348,212.662,177.921,64.372,352.604,37.935,453.441,47.866,401.297,42.518,117.239,245.151,413.282
BA0 0 onwind,0.707,1.071,1.144,0.971,0.93,0.802,1.08,1.095,0.784,1.164,1.15,1.113,0.901,1.135,1.147,1.059,0.936,0.895,0.972,0.884,17.658,25.456,15.145,11.33,16.158,13.683,2.119,6.87,9.687,1.126,0.936,20.011,19.304,12.018,12.937,14.563,13.018,14.924,6.1,2.475,13.444,13.133,14.901,15.48,14.474,13.796,9.779,12.759,1.595,13.037,20.109,16.267,13.895,4.047,20.255,2.121,27.197,2.945,22.537,2.574,9.292,14.329,23.827
BE0 0 onwind,4317191.703,4705277.597,4707971.335,4131194.962,4387893.742,4473923.06,4330394.22,4581335.094,4650552.398,4704266.152,4553814.667,4156088.537,4244300.54,4066617.004,4687300.354,4703502.822,4710065.585,4409545.535,4171923.32,4334437.8,9930772.864,10151383.047,10170593.717,9922395.653,9940642.199,10145997.419,10210829.3,9860053.041,9916844.551,9747073.573,4225909.57,10160716.916,10170443.46,9919022.007,9937137.506,9927799.98,9924649.419,10168524.901,10172098.663,10221550.139,10169325.177,9908139.88,9928661.134,9918126.673,10145430.314,9928570.747,9920121.307,9902852.607,9735208.396,9897724.804,10148339.898,9941658.218,9935117.215,10207790.769,10142067.121,10219883.857,10152973.277,10221870.002,10142149.988,10207331.195,9872150.091,10152301.281,10148810.297
BG0 0 onwind,7.065,10.655,11.392,9.649,9.245,8.011,10.767,10.954,7.802,11.594,11.484,11.06,9.169,11.345,11.421,10.518,9.89,8.968,9.683,8.808,173.468,293.489,203.659,113.745,159.842,188.847,26.136,67.228,96.483,10.989,9.311,236.464,241.337,118.525,132.036,146.385,131.529,175.916,83.412,28.21,174.67,127.624,146.152,152.04,179.229,136.054,97.327,124.149,15.505,126.299,234.105,162.947,136.782,45.598,249.004,27.087,320.813,33.952,283.16,30.089,90.328,173.633,292.004
CH0 0 onwind,0.575,0.864,0.929,0.786,0.756,0.653,0.878,0.891,0.638,0.943,0.937,0.903,0.735,0.917,0.93,0.857,0.717,0.729,0.788,0.719,15.074,20.463,11.711,9.44,13.592,10.696,1.676,5.854,8.109,0.947,0.759,15.918,15.221,10.007,10.443,11.889,10.712,11.913,4.739,2.005,10.027,11.026,12.55,12.852,11.661,11.741,8.155,10.687,1.337,10.943,16.215,13.479,11.774,3.313,16.066,1.679,21.788,2.359,17.55,2.059,7.791,11.408,18.937
CZ0 0 onwind,47.173,73.634,78.207,60.328,62.663,54.937,72.013,75.683,53.785,79.523,79.534,68.898,60.079,69.857,78.709,72.692,69.381,61.44,61.668,59.423,3602055.913,5724211.823,5630962.873,3608248.715,3602306.388,5629016.38,5654346.618,3605634.125,3567196.129,3609808.931,59.721,5633499.635,5646266.657,3601661.12,3582088.406,3602998.309,3597516.943,5708559.267,5676846.672,5739563.5,5626570.998,3605285.403,3594750.102,3600399.254,5631552.186,3602832.521,3603291.544,3606419.929,3607631.949,3543510.733,5629540.999,3605017.104,3606902.53,5618657.221,5631671.258,5697053.515,5629937.711,5620575.249,5628755.59,5703617.58,3531392.036,5627622.004,5631195.628
DE0 0 onwind,14.801,22.349,23.858,20.167,19.33,16.739,22.518,22.926,16.335,24.293,24.023,23.083,19.172,23.766,23.901,22.078,21.341,18.783,20.198,18.448,5242624.365,41901323.476,41878627.882,5369032.197,5239205.158,41854368.962,42280733.557,5311016.497,5317496.497,5452402.629,19.454,41873185.988,41876651.933,5247842.482,5305829.989,5248093.672,5305851.913,41945697.314,42020098.392,42260695.184,41888051.618,5365396.179,5318017.744,5262841.508,41872671.616,5243359.258,5250231.827,5395656.812,5419928.849,5270691.018,41850752.488,5309516.452,5379237.794,42193340.091,41818799.982,42242281.649,41808066.472,42272175.986,41821782.924,42218880.872,5274140.426,41887114.666,41820340.02
DK0 0 onwind,9208772.423,9199088.288,9170126.979,9513173.424,9108120.504,9122140.219,9197109.101,9187461.718,9106071.242,9183481.818,9174986.248,9425435.557,9241241.629,9585789.5,9142185.286,9154433.705,9278539.625,9215080.849,9286580.066,9200491.537,21788284.496,66263896.148,66220285.192,21846795.331,21787687.362,66229227.916,65829445.376,21824205.13,21802061.012,21817475.588,9286254.988,66217747.798,66240935.885,21796568.444,21790765.914,21770093.359,21789183.972,66188332.789,66067663.838,65821929.847,66193949.77,21830390.276,21783119.495,21788404.717,66211654.363,21788317.847,21792558.74,21852852.123,21760172.619,21748491.366,66234621.344,21800492.853,21854533.927,65897416.42,66259790.03,65818972.317,66270968.646,65792138.174,66253201.891,65845164.864,21760174.204,66188590.462,66259025.177
DK3 0 onwind,5410807.791,5357003.971,5357349.008,5463678.39,5388467.955,5370423.738,5408621.783,5356538.861,5356462.451,5357099.208,5360273.474,5452062.065,5423849.759,5484676.386,5356901.873,5357523.771,5356789.856,5379655.48,5432747.477,5388167.68,13231691.389,13457584.773,13453144.135,13284940.822,13239009.455,13452601.626,13501331.473,13244012.029,13270849.449,13294996.033,5425775.425,13449415.946,13468510.156,13236670.121,13290524.891,13255472.369,13272538.874,13449086.653,13460101.89,13504053.118,13456215.932,13274994.227,13296085.228,13249257.732,13457427.104,13240923.06,13239296.373,13281000.988,13294641.457,13266247.396,13450561.261,13268756.266,13280654.177,13487619.006,13458821.339,13511455.401,13458928.933,13518606.84,13460964.12,13497065.198,13272773.858,13445897.227,13455796.19
EE6 0 onwind,3501050.768,3496451.079,3496728.824,3502422.755,3498646.723,3498077.11,3497791.147,3496911.684,3498414.374,3496738.146,3496433.998,3502866.595,3500748.615,3501837.447,3497847.588,3497228.94,3494873.837,3496848.532,3502731.624,3497150.88,4957487.486,10557658.909,10582522.265,4964643.073,4957896.411,10575598.525,10565853.0,4965593.172,4965891.089,4973478.681,3502046.652,10582200.67,10577708.165,4959672.348,4962618.622,4958847.112,4960857.967,10554565.328,10583340.166,10581968.65,10597937.972,4964227.419,4965716.754,4960614.155,10580588.655,4959198.716,4960617.642,4967137.829,4972872.686,4968293.857,10573551.828,4956460.042,4961947.767,10571020.156,10574005.116,10551777.856,10576081.579,10593574.787,10580955.806,10561042.139,4972836.113,10574605.159,10576487.382
ES0 0 onwind,11556236.679,11975010.752,11980164.116,11195454.032,11755458.518,11835959.541,11632773.256,11951646.429,11986237.454,11974673.031,11916941.651,11211983.75,11441866.782,11144079.841,11972561.494,11981988.033,11951254.998,11809215.139,11235703.072,11694240.846,25164532.775,27060998.414,26817396.235,25167522.829,25171159.997,26836563.765,26539227.512,25134548.947,25170163.658,25169693.082,11335180.974,26834882.322,26846880.534,25152423.813,25213793.951,25182838.628,25176366.687,26962465.48,26737196.057,26858783.362,26800570.993,25130974.956,25187699.352,25158265.495,26798410.672,25161290.437,25144478.869,25158735.744,25176720.02,25162004.878,26819004.571,25191909.209,25177456.909,26599355.642,26875215.812,26651370.818,26877746.405,26568374.242,26857764.237,26728242.923,25162739.29,26783981.884,26863107.12
ES2 0 onwind,531360.577,514039.671,513141.943,541592.862,524601.186,517634.15,529491.928,513342.944,511439.737,513220.335,514694.618,538477.097,536149.279,542810.013,512521.395,513734.302,516154.027,523093.241,536151.155,529005.394,919920.474,2352647.689,2354123.019,916100.86,919336.61,2355816.183,2347799.497,902564.49,906747.619,883096.398,535242.509,2354033.007,2354274.71,916388.438,916517.101,920725.931,917318.893,2352824.724,2353705.315,2347545.238,2353940.903,911905.999,918477.564,919119.983,2355553.457,917613.182,915876.924,912165.027,881664.404,912194.933,2354013.039,920243.031,915967.221,2347916.544,2356480.332,2347599.232,2354878.051,2347645.229,2355072.532,2347626.571,898874.255,2353715.317,2354950.284
FI3 0 onwind,111.275,172.938,183.369,139.502,149.657,129.277,173.678,174.116,126.758,186.169,184.372,158.536,147.981,172.879,184.43,170.888,165.519,146.225,156.104,141.163,2619.926,14577.241,14153.781,1775.28,2434.528,14310.449,1694.914,1024.812,1496.831,170.428,131.192,15092.749,15980.606,1814.361,2125.092,2313.482,2040.378,9722.098,5609.236,1400.982,12494.765,1951.546,2254.583,2310.766,13599.433,2082.932,1510.812,1919.48,238.153,1914.759,15474.754,2512.913,2108.242,2916.04,18142.66,1600.17,21036.69,2155.983,19173.833,1669.636,1401.784,11815.34,18932.232
FR0 0 onwind,68.266,104.883,111.727,92.641,89.96,77.934,103.826,106.599,76.175,113.806,111.718,106.414,88.433,107.515,112.42,103.515,99.682,87.612,93.359,85.137,36393490.303,101646218.309,101741703.559,36363184.281,36358193.239,101728248.238,102421273.278,36404292.164,36348953.172,36587558.06,89.517,101740232.415,101734961.987,36344382.105,36387089.002,36357623.225,36364246.979,101701178.95,101783993.17,102283029.006,101734251.578,36435393.259,36352652.31,36363836.879,101650171.278,36343539.595,36372977.667,36383754.706,36635308.553,36351398.065,101727965.37,36383043.455,36384271.315,102156845.015,101725555.327,102343627.052,101741198.536,102560070.045,101703880.705,102267644.55,36354004.475,101705650.868,101724246.108
GB4 0 onwind,654668.353,505322.816,498695.099,701759.821,634795.772,584862.347,651442.581,586854.793,552344.883,498738.563,583728.606,681281.67,655287.083,722325.785,517336.612,500959.207,501965.06,612374.767,655887.547,640288.921,4920350.312,35399422.826,35393082.088,5076197.682,4913768.005,35371502.833,35344996.026,4948122.328,5418813.814,5088515.056,655434.551,35386150.492,35389092.002,4924197.656,5315751.594,4906657.735,4917961.16,35412900.497,35390710.899,35355393.058,35405663.618,5025611.845,5251322.864,4919839.477,35377841.66,4911234.187,4913917.116,5233878.311,5074043.148,5460026.775,35395200.981,4931144.547,5147668.895,35361588.722,35390282.766,35341470.781,35392001.717,35312171.215,35388372.857,35342798.674,5454967.805,35391365.656,35387495.645
GB5 0 onwind,62320705.061,58377762.316,58393249.181,65003919.991,60732575.652,59389695.433,61766183.574,58430197.193,58385004.046,58377998.417,58600408.066,64721179.629,63115316.376,65420737.434,58393677.429,58380245.568,58405766.749,60169427.824,64248811.523,61247687.705,162864496.422,415056174.003,415254142.217,162777349.25,162917275.452,415268117.804,415934394.124,162232419.422,164707811.695,162012137.199,63779156.271,415240246.195,415209148.074,162683232.572,164482959.433,163026589.271,162825899.433,415335987.104,415773018.449,416082756.205,415383738.443,162604913.743,163901942.988,162793810.627,415268172.13,162861211.684,162708719.277,162712763.961,161952284.722,165322171.828,415273794.746,162913883.959,162771026.061,415900030.226,415114805.622,416050034.383,414998599.485,415907532.76,415059944.447,415957692.19,165576848.338,415441527.987,415113509.107
GR0 0 onwind,8.759,13.202,14.094,12.015,11.451,9.923,13.345,13.541,9.651,14.337,14.197,13.771,11.384,14.164,14.116,13.009,12.352,11.095,12.028,10.913,291.229,606.084,430.476,190.48,268.177,409.843,54.626,112.816,161.487,18.376,11.572,488.454,507.253,198.59,220.924,244.872,220.35,363.292,180.474,58.243,384.983,214.291,244.703,254.783,376.316,228.14,162.814,207.722,26.022,211.072,483.008,273.269,229.288,93.713,519.966,56.573,662.219,70.009,591.167,62.481,151.233,361.099,602.721
HR0 0 onwind,4.91,7.389,7.889,6.704,6.424,5.558,7.481,7.591,5.4,8.032,7.967,7.665,6.347,7.853,7.896,7.288,6.756,6.226,6.708,6.119,125.259,207.683,138.123,82.218,115.353,128.269,17.803,48.576,68.988,7.939,6.449,166.467,163.252,85.639,92.993,104.08,93.195,124.016,55.375,20.156,114.967,92.236,105.935,109.861,127.335,98.42,69.912,89.876,11.226,91.247,165.973,116.02,98.642,32.7,176.8,18.333,226.977,23.901,195.863,21.208,65.457,121.563,206.049
HU0 0 onwind,404.449,697.261,675.151,447.056,485.955,461.663,563.307,641.403,472.225,703.403,690.104,480.902,513.088,512.117,704.283,677.818,688.22,499.123,462.346,505.193,3702294.504,9308732.442,9315382.407,3755244.02,3700182.469,9316494.882,9307243.105,3733657.419,3758567.836,3765957.148,477.764,9315559.726,9313310.078,3704984.45,3750571.366,3703447.106,3729585.697,9314735.892,9309816.758,9297109.372,9316284.707,3747700.016,3749997.897,3716095.086,9315415.386,3701775.96,3704412.772,3757147.132,3763557.471,3754017.766,9315641.734,3728338.104,3750327.216,9307394.477,9315979.633,9304874.447,9314444.756,9305845.995,9315284.783,9301789.04,3763355.299,9315749.269,9314705.224
IE4 0 onwind,2443380.843,2400094.554,2400243.862,2449554.959,2424588.359,2423581.497,2440835.703,2417664.573,2407842.71,2400997.621,2426391.437,2457274.008,2452157.205,2452514.778,2407792.945,2395830.894,2412444.827,2430937.568,2451059.53,2438349.328,6621582.705,36544187.172,35832694.11,6649271.573,6623873.268,35760696.978,35745904.626,6604355.56,6757897.936,6551850.087,2456520.56,35807411.709,35949085.799,6620139.341,6734429.156,6622082.383,6620187.698,36525686.044,35888585.142,36398538.833,35726317.412,6638473.987,6737831.563,6623086.939,35825319.692,6619312.958,6627294.645,6708485.6,6523177.595,6800462.968,35744059.019,6635861.404,6667103.17,35636960.594,35731617.363,35871156.662,35731381.424,35691052.748,35745769.874,36008224.412,6816720.883,35732021.323,35737699.063
IT0 0 onwind,10.002,15.234,16.27,13.518,13.127,11.396,15.243,15.592,11.136,16.542,16.347,15.538,12.92,15.85,16.267,15.036,14.391,12.742,13.638,12.502,3628290.958,1543266.251,1535387.727,3460960.257,3628729.941,1545762.966,1518107.726,3543609.943,3370503.051,3396420.079,13.117,1534343.241,1537469.84,3615117.635,3384977.31,3633758.606,3545875.935,1542036.938,1550405.476,1518376.625,1541087.441,3477632.979,3436417.487,3598555.077,1533814.135,3627293.938,3619860.795,3440844.382,3427917.967,3341950.032,1546482.011,3534485.399,3461598.627,1518676.424,1548002.371,1527940.712,1549940.754,1513759.759,1547394.959,1537163.631,3316231.372,1541603.724,1547562.31
IT1 0 onwind,1341952.92,1348956.512,1348485.586,1330987.869,1340703.963,1344227.262,1342611.481,1348298.385,1347267.207,1348642.313,1348538.841,1327596.435,1339233.266,1325117.59,1347694.188,1348763.873,1350208.394,1341113.377,1328648.658,1342612.232,2139688.761,3290524.534,3285030.528,2144525.076,2139132.478,3284772.516,3267973.239,2137251.144,2137483.659,2156957.419,1328036.883,3285362.925,3287890.805,2138661.324,2138384.015,2139886.485,2140965.296,3282687.819,3272950.529,3274744.438,3283126.83,2142823.815,2139975.047,2138914.275,3284438.323,2136940.596,2136572.565,2143876.409,2147092.252,2138720.002,3283380.316,2142160.062,2143708.325,3270957.209,3288046.685,3274175.967,3288737.697,3269635.631,3287559.59,3273273.167,2140062.749,3279487.439,3287250.813
LT6 0 onwind,40.418,60.822,64.607,55.468,53.091,45.655,61.631,62.092,44.331,65.937,65.343,63.062,52.377,64.708,64.905,59.933,57.887,51.705,55.576,50.492,1056.174,2196.625,1592.062,695.62,981.143,1524.062,197.475,409.981,596.766,67.507,52.998,1787.306,1825.562,719.02,831.457,911.97,810.003,1314.623,671.2,208.851,1422.259,783.533,900.183,923.467,1402.857,833.644,585.619,765.139,95.549,767.538,1773.25,998.975,840.001,342.78,1927.224,200.315,2430.219,256.332,2193.883,226.553,558.123,1334.481,2217.523
LU0 0 onwind,11.438,16.987,24.391,16.844,17.508,17.109,19.567,21.482,16.536,17.6,20.996,20.526,16.241,20.807,22.002,16.639,15.102,16.494,18.129,14.522,1843813.369,1845952.768,1850796.311,1841931.793,1840457.776,1844301.64,1866830.39,1847939.723,1844630.826,1855960.694,15.379,1847400.986,1852232.524,1843033.649,1841878.446,1841208.881,1841675.302,1851743.863,1852652.909,1868956.922,1851524.073,1842148.189,1842282.433,1844301.409,1840276.069,1840799.161,1839882.333,1843510.615,1860118.451,1844548.206,1845008.747,1842279.177,1841038.418,1863984.183,1842354.257,1869670.607,1845656.109,1871181.792,1846003.021,1865513.209,1849465.303,1846236.261,1845818.772
LV6 0 onwind,67.754,99.705,105.873,95.907,89.037,76.163,103.49,102.066,72.865,108.051,107.989,108.418,88.851,111.4,106.981,98.41,95.932,87.125,95.681,84.78,2935.826,2503.225,1786.092,1920.074,2732.183,1701.953,221.393,1133.504,1646.181,187.604,90.186,2026.612,2053.452,2019.464,2357.969,2667.028,2297.417,1476.084,736.78,240.203,1605.01,2140.677,2473.802,2571.935,1560.801,2347.478,1671.904,2101.569,261.017,2079.327,2009.11,2780.025,2320.76,386.826,2155.517,225.369,2752.981,289.7,2463.628,254.86,1543.484,1491.433,2514.065
ME0 0 onwind,0.627,0.935,1.01,0.861,0.83,0.716,0.961,0.976,0.699,1.026,1.027,0.99,0.8,0.995,1.008,0.931,0.769,0.799,0.862,0.787,14.919,21.247,11.672,9.416,13.32,10.735,1.677,5.85,7.903,0.963,0.832,16.566,15.142,10.013,10.05,11.397,10.326,12.307,4.76,2.106,9.699,11.364,12.873,12.843,12.16,11.524,8.133,10.774,1.353,11.127,16.945,13.048,11.57,3.527,16.725,1.661,22.633,2.429,17.777,2.142,7.935,11.768,19.652
