,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
solar_gen [MWh],798781555.6,401139659.4,270061117.2,203324365.8,166745522.2,144679880.6,122206278.1,101060390.7,99907729.7,91772086.4,84437368.5,96988412.3,46966016.0,1486050354.0,752149421.2,508345697.0,382966863.7,313253175.3,271865798.1,231821612.1,191662808.9,185834858.1,170059475.8,153551104.4,164295616.6,81144355.4,2644947601.4,1336916061.1,896013981.5,684584479.8,558384428.1,499152448.2,420797687.4,349549686.1,350231694.8,325031901.3,296921478.0,348096293.1,176160424.3
hydro_gen [MWh],511983517.5,255983506.8,170676109.6,128011201.6,102388138.1,85338149.6,73147400.9,63991027.9,56924282.8,51233908.5,46583508.6,42723526.0,21340168.7,512113896.9,256348221.0,170938823.7,128220426.4,102558138.7,85463236.9,73290283.4,64108690.0,57018204.3,51282637.4,46652415.4,42682466.3,21346739.6,511743238.0,256067022.2,170832308.2,128230518.9,102568240.5,85476998.7,73288829.3,64116819.1,57025851.4,51295545.7,46656454.9,42722546.5,21360087.4
tot_gen [MWh],3011720130.466,1505846679.591,1003301880.431,752718920.491,602339185.793,501558246.213,429782221.286,376822704.142,334208563.656,300576791.341,273593031.938,251101735.066,125221528.158,6034790885.867,3014996228.498,2010372243.426,1506830964.487,1205062801.013,1006359346.769,861533056.527,751695428.084,669917033.103,602072463.32,547269082.79,500352104.602,250205856.945,9110399851.798,4553092984.137,3036628133.119,2268984037.613,1812623896.345,1510864758.837,1292536376.93,1136149243.556,1001496371.034,901281038.351,819029043.731,754169181.287,378242054.739
cap_onwind [GW],161.138,160.53,160.15,157.647,158.817,150.218,159.911,157.282,143.314,147.543,146.929,126.678,128.265,465.014,463.189,454.374,449.745,438.57,406.475,412.886,444.04,399.303,385.14,388.819,286.67,300.185,1006.554,1008.369,1000.777,997.173,974.591,959.103,965.399,1011.972,936.942,920.695,911.011,677.548,668.478
cap_offwind [GW],224.963,224.049,221.644,221.691,214.966,206.813,205.549,222.061,200.172,193.944,190.068,124.959,130.352,283.72,279.689,277.786,276.888,272.809,272.455,267.335,274.347,258.315,258.13,258.363,237.17,236.284,462.217,455.211,451.37,447.364,447.478,402.131,410.908,418.718,380.12,365.939,368.339,274.511,275.169
cap_solar [GW],751.947,755.971,763.616,765.239,784.676,814.184,804.917,758.799,850.085,865.44,871.831,1071.913,1026.193,1391.165,1405.884,1422.603,1435.327,1465.342,1524.28,1526.242,1441.353,1567.22,1594.93,1593.73,1793.347,1766.774,2409.112,2436.709,2450.265,2493.464,2541.497,2708.494,2698.629,2535.188,2871.112,2958.412,2962.889,3662.452,3666.161
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas [GW],134.749,104.306,133.526,83.952,108.522,127.972,122.221,82.817,162.997,79.35,102.74,118.591,113.974,740.725,789.646,860.769,703.238,847.067,895.049,783.951,721.659,803.178,783.048,807.925,891.59,835.157,171.738,40.321,67.976,41.535,43.148,36.067,89.83,89.141,118.512,36.997,140.079,43.912,224.375
sector,,,,,,,,,,,,,,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B
AL0 0 X Store,0.004,0.005,0.004,0.004,0.004,0.005,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.065,0.019,0.007,0.006,0.005,0.004,0.005,0.006,0.006,0.003,0.004,0.003,0.003,0.064,0.095,0.037,0.01,0.007,0.004,0.007,0.007,0.004,0.006,0.006,0.004,0.003
AT0 0 X Store,0.01,0.011,0.009,0.009,0.009,0.014,0.009,0.009,0.011,0.009,0.009,0.003,0.004,0.076,0.022,0.008,0.007,0.006,0.005,0.007,0.007,0.008,0.005,0.005,0.004,0.004,0.091,0.124,0.052,0.012,0.01,0.01,0.011,0.01,0.008,0.012,0.012,0.006,0.004
BA0 0 X Store,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.004,0.004,0.003,0.003,0.002,0.002,0.061,0.017,0.006,0.005,0.004,0.003,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.06,0.091,0.035,0.009,0.007,0.004,0.006,0.007,0.004,0.006,0.006,0.004,0.003
BE0 0 X Store,0.013,0.015,0.013,0.012,0.014,0.018,0.012,0.014,0.012,0.012,0.011,0.003,0.003,0.102,0.032,0.011,0.009,0.009,0.006,0.009,0.009,0.009,0.006,0.007,0.004,0.004,0.135,0.176,0.079,0.018,0.015,0.013,0.015,0.015,0.009,0.015,0.014,0.008,0.005
BG0 0 X Store,0.004,0.005,0.004,0.004,0.004,0.005,0.003,0.004,0.004,0.003,0.003,0.002,0.002,0.064,0.019,0.007,0.006,0.005,0.004,0.005,0.006,0.006,0.003,0.004,0.003,0.003,0.067,0.096,0.037,0.01,0.007,0.004,0.007,0.007,0.004,0.007,0.006,0.004,0.003
CH0 0 X Store,0.011,0.013,0.011,0.011,0.012,0.016,0.013,0.011,0.014,0.013,0.013,0.003,0.003,0.077,0.024,0.008,0.007,0.006,0.005,0.007,0.007,0.008,0.005,0.006,0.003,0.004,0.074,0.106,0.043,0.011,0.008,0.007,0.008,0.008,0.005,0.008,0.009,0.006,0.004
