,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
E_H2 [GWh],0.068,0.087,0.073,0.07,0.085,0.061,0.061,0.08,0.087,0.089,0.069,0.077,0.067,0.082,8265.615,8329.473,8263.227,8272.786,8268.077,0.072,925.619,8301.318,8267.3,8265.395,0.071,8266.376,8264.115,924.393,8264.064,819.482,924.693,8268.484,924.568,0.067,923.186,924.731,8264.665,925.396,924.04,8267.77,817.376,887.253,8264.594,8262.689,924.659,923.522,925.684,924.858,8478.376,925.643,925.48
avail_onwind [MWh],152915681.986,152916880.55,152916994.959,152916004.668,152915403.593,154106087.001,152916240.294,152915299.64,152863505.21,158278885.202,154803688.957,152912526.52,152915968.983,162429219.278,898021536.022,898611771.147,898039296.764,898285156.017,898158255.149,152810837.093,399212316.754,898209917.316,898160230.654,898024549.872,152916722.902,898068111.64,898005432.386,399022170.888,898015597.402,401540192.406,398992179.713,898157357.132,398925432.041,152916399.307,399436528.404,399019327.902,898003448.124,398992865.187,399050233.052,898154745.588,407591860.697,400404238.379,898021272.577,898074878.815,398983287.683,399610918.304,399216506.417,399003408.774,899415472.764,399218537.87,399186403.522
avail_offwind [MWh],314625867.627,314624117.565,314986941.393,314625007.972,314626619.243,314662064.104,314625500.045,314626319.475,314694935.615,313816020.458,314652050.803,314630187.698,314625521.208,312985112.935,665296389.526,665372212.019,665244343.225,665157104.191,665269612.002,314807552.92,390678127.837,665050020.725,665189472.097,665277477.63,314625324.076,665269491.553,665301525.56,390927047.164,665312319.459,390125115.972,390926695.366,665266440.009,390965960.601,314625158.291,390725325.025,390887768.508,665299456.961,390891682.744,390964024.019,665267373.969,389996173.045,390340725.904,665276388.522,665197912.626,390931462.561,390637308.076,390675411.723,390895910.116,666317963.394,390675740.69,390700172.13
avail_solar [MWh],277444386.578,277444551.451,277074188.681,277444326.506,277443588.369,276215048.152,277443875.908,277444451.442,277409771.292,272856660.017,275224810.401,277442242.224,277444346.889,269701741.416,910903363.564,911389221.009,910956969.827,910867324.011,910798800.989,277362349.735,517121455.291,911045358.543,910866324.633,910916090.977,277443860.981,910892229.532,910917129.483,517090583.267,910902375.407,516734209.415,517101994.997,910798237.666,517094533.612,277444079.291,517076497.176,517111714.376,910924303.389,517105878.905,517071369.301,910803965.593,514028236.735,516920620.638,910934873.062,911019023.727,517105879.108,517160645.695,517117704.333,517101377.522,910953207.164,517115842.212,517122716.47
used_onwind [MWh],125918014.801,125936160.298,126277667.79,125857860.59,125860330.506,129254366.774,125806921.566,125874531.788,125916972.595,139148688.932,132807778.076,125949722.635,125887359.865,146203521.693,876278021.997,877274914.642,876061194.373,878122825.741,877800235.147,125922254.629,368051382.573,878086630.198,877816816.556,876289062.542,125846276.077,876693251.275,875878293.472,368029449.612,876152115.44,375599361.893,368024751.547,877904075.336,367759861.436,125882470.828,368184462.432,368044644.061,876016683.072,367733403.152,367976885.133,877743647.733,383421078.38,371478743.718,875995514.868,876329902.612,367981565.283,368625849.573,367984245.67,367887104.529,881138899.44,367987075.707,367941208.758
used_offwind [MWh],297239717.696,297248134.725,297791940.796,297292247.074,297285002.743,297890037.692,297314228.061,297266365.809,297341089.977,298995733.201,298526435.317,297245162.17,297252887.016,300733427.779,635131253.559,637321802.693,635822975.439,631607045.579,631951710.188,297445902.399,379864845.452,632182424.212,631953734.518,635182100.187,297290240.005,634135433.356,636129284.906,381949810.33,635311647.268,379548369.929,381544934.64,631808610.93,381831183.652,297263067.044,380950230.899,381317774.188,635854086.985,381340513.757,382078701.276,632065866.505,381142656.486,381723817.893,635907832.23,635083602.179,381675801.075,381531802.39,379899570.787,381612313.882,636222081.616,379928323.589,380080296.683
used_solar [MWh],271108502.842,271090387.449,270809146.017,271112011.915,271118332.152,270008520.63,271132847.512,271121142.013,271071534.973,266912804.096,269097239.138,271083099.812,271120635.393,264001298.45,895733501.096,896194817.463,895695595.674,896545166.27,896421467.429,271024167.297,508331905.004,896658265.961,896477918.537,895779210.965,271122181.559,895986164.665,895600910.306,507218860.444,895670689.11,508048581.793,507430474.559,896443061.643,507368648.493,271116193.091,507759499.847,507558776.659,895615898.83,507641386.084,507139657.894,896397454.063,504767903.216,506955307.659,895661212.046,895869177.84,507389902.164,507406429.849,508335368.017,507455697.556,896666303.922,508321776.759,508264765.649
gas_OCGT_gen [MWh],36366513.6,36363663.9,36432531.0,36365500.5,36365901.9,36028839.9,36367022.7,36366018.0,36372307.2,35654089.5,35890011.3,36364297.2,36366240.9,35856923.1,9799766.4,8480020.5,9767621.7,9580785.0,9810066.9,36377610.6,7340694.9,9230285.1,9686023.8,9798708.3,36365662.5,9801150.0,9798026.7,7336138.2,9800498.4,6628954.8,7345248.6,9810447.3,7346442.6,36365655.9,7317969.6,7344146.1,9798090.6,7343955.9,7327664.7,9808697.4,6315992.1,6996861.9,9799046.4,9619652.1,7343090.1,7322979.6,7340742.0,7344480.6,7791791.1,7341808.5,7341417.3
gas_CCGT_gen [MWh],163428802.8,163432665.9,163335304.2,163430284.2,163429458.0,163906680.3,163428150.0,163429371.3,163420344.6,164436396.6,164102973.3,163431911.7,163429201.8,164149503.3,423315.3,425620.2,427395.0,412288.8,412807.8,163413107.1,9863233.8,412662.6,412837.8,423483.9,163430010.3,421027.8,425725.2,9894780.6,426962.4,10402720.5,9875331.0,412891.8,9876369.3,163430022.3,9915110.4,9872625.3,427972.2,9871529.1,9902807.4,412654.5,10827293.1,10157687.4,427377.9,423581.1,9873636.6,9990666.0,9862635.3,9871104.3,411494.7,9862664.7,9862641.0
coal_gen [MWh],112.5,131.7,137.4,96.9,144.9,82.2,102.3,132.0,153.9,140.4,93.6,108.6,110.7,139.2,1442.1,2068.8,1783.5,190.5,215.7,110.1,213.0,216.0,189.3,1361.7,103.8,1023.0,1619.1,1951.5,1817.1,177.6,1677.6,228.6,1436.7,112.5,808.2,1557.6,2064.9,1078.5,1964.4,220.5,1143.3,1580.1,1994.1,1560.6,1615.5,2336.7,136.2,1392.3,168.9,144.0,258.3
nuclear_gen [MWh],617.7,837.9,787.2,758.1,811.5,617.1,615.9,747.0,844.5,973.5,693.6,670.8,622.2,840.6,58779190.5,58040138.4,58771227.0,58666955.1,58757062.2,741.0,12250.8,58801710.6,58749701.1,58760577.6,699.6,58758157.8,58776071.1,131236.5,58790495.4,9621.9,66319.2,58761311.7,90491.4,645.3,40869.0,63495.3,58782900.3,72459.6,131130.3,58760496.9,65597.4,67259.7,58782747.9,58756164.3,65109.6,105928.8,7840.2,86628.3,56528257.8,8096.4,14507.4
onwind_gen [MWh],377754044.4,377808480.9,378833003.4,377573581.8,377580991.5,387763100.4,377420764.8,377623595.4,377750917.8,417446066.7,398423334.3,377849167.8,377662079.7,438610565.1,2628834066.0,2631824743.8,2628183583.2,2634368477.1,2633400705.3,377766763.8,1104154147.8,2634259890.6,2633450449.8,2628867187.5,377538828.3,2630079753.9,2627634880.5,1104088348.8,2628456346.2,1126798085.7,1104074254.5,2633712225.9,1103279584.2,377647412.4,1104553387.2,1104133932.3,2628050049.3,1103200209.6,1103930655.3,2633230943.1,1150263235.2,1114436231.1,2627986544.7,2628989707.8,1103944695.9,1105877548.8,1103952737.1,1103661313.5,2643416698.2,1103961227.1,1103823626.4
offwind_gen [MWh],891719153.1,891744404.1,893375822.4,891876741.3,891855008.1,893670113.1,891942684.3,891799097.4,892023270.0,896987199.6,895579305.9,891735486.6,891758661.0,902200283.4,1905393760.8,1911965408.1,1907468926.2,1894821136.8,1895855130.6,892337707.2,1139594536.5,1896547272.6,1895861203.5,1905546300.6,891870720.0,1902406300.2,1908387854.7,1145849430.9,1905934941.9,1138645109.7,1144634803.8,1895425832.7,1145493551.1,891789201.0,1142850692.7,1143953322.6,1907562261.0,1144021541.4,1146236103.9,1896197599.5,1143427969.5,1145171453.7,1907723496.6,1905250806.6,1145027403.3,1144595407.2,1139698712.4,1144836941.7,1908666244.8,1139784970.8,1140240890.1
solar_gen [MWh],813325508.4,813271162.2,812427438.0,813336035.7,813354996.6,810025561.8,813398542.5,813363426.0,813214605.0,800738412.3,807291717.3,813249299.4,813361906.2,792003895.2,2687267164.5,2688679040.7,2687168245.5,2689649390.1,2689279800.0,813072501.9,1525000017.9,2689990726.8,2689449410.7,2687402005.5,813366544.8,2688008301.6,2686880587.8,1521695493.9,2687092456.8,1524149057.4,1522327751.7,2689345324.8,1522135005.9,813348579.3,1523293557.6,1522710969.3,2686931365.8,1522946964.6,1521459208.8,2689208159.7,1514325895.8,1520895171.3,2687068444.8,2687677543.5,1522205613.6,1522257055.5,1525008847.5,1522394315.7,2690022064.2,1524968172.3,1524799151.7
hydro_gen [MWh],512044827.3,512023599.0,512047827.6,512053301.1,512054010.3,511957602.3,512073439.8,512055181.2,512034407.4,512085642.9,512002430.1,512023000.5,512056733.7,512253996.9,512058224.7,511975251.0,511890763.2,512921604.0,512843072.1,512034525.3,512804217.0,512818259.4,512819439.3,511981960.2,512063074.2,512366201.1,511774504.5,512092229.7,512145646.8,512791976.4,512061511.5,512877948.6,512134873.2,512053524.6,512410640.1,512172999.9,511863053.1,512357078.4,512019432.6,512799800.7,512318703.9,511753060.8,511830706.2,512068743.9,512019787.5,512071827.0,512816074.5,512216467.5,512830107.6,512798114.1,512750262.3
tot_gen [MWh],2791.92,2791.929,2793.738,2791.914,2791.916,2800.648,2791.898,2791.913,2792.1,2824.499,2810.567,2791.941,2791.914,2842.063,8009.842,8017.239,8010.941,8007.668,8007.695,2792.297,4727.864,8008.92,8007.755,8010.069,2791.911,8009.149,8010.954,4730.114,8009.915,4745.076,4729.405,8007.678,4729.375,2791.912,4729.509,4729.279,8010.683,4728.858,4730.068,8007.755,4760.464,4737.388,8010.882,8010.043,4729.504,4731.339,4727.782,4729.443,8022.994,4727.82,4727.926
cap_onwind [GW],159.682,159.683,159.526,159.682,159.682,160.148,159.682,159.681,159.631,162.976,160.049,159.678,159.682,166.59,1000.46,1001.076,1000.503,1000.728,1000.631,159.552,453.966,1000.638,1000.652,1000.468,159.683,1000.515,1000.461,453.682,1000.468,455.186,453.683,1000.628,453.614,159.683,454.094,453.712,1000.444,453.688,453.713,1000.623,459.765,454.372,1000.472,1000.523,453.676,454.119,453.976,453.69,1002.093,453.979,453.936
cap_offwind [GW],221.603,221.602,221.864,221.602,221.604,221.644,221.603,221.603,221.644,221.05,221.635,221.605,221.603,220.42,451.48,451.561,451.455,451.383,451.433,221.73,277.928,451.269,451.378,451.472,221.603,451.452,451.494,278.143,451.495,277.595,278.134,451.432,278.153,221.603,277.982,278.104,451.493,278.092,278.167,451.431,277.523,277.726,451.479,451.418,278.135,277.952,277.924,278.109,452.204,277.925,277.943
cap_solar [GW],766.686,766.687,765.812,766.686,766.684,763.617,766.684,766.686,766.599,754.068,760.543,766.68,766.686,745.455,2450.501,2452.213,2450.683,2450.141,2450.109,766.504,1422.636,2451.099,2450.309,2450.547,766.684,2450.448,2450.572,1422.555,2450.523,1421.653,1422.585,2450.105,1422.56,766.685,1422.441,1422.614,2450.587,1422.596,1422.485,2450.123,1413.177,1421.946,2450.615,2450.806,1422.594,1422.675,1422.625,1422.586,2450.286,1422.621,1422.644
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],63.442,63.44,63.14,63.441,63.441,61.685,63.443,63.441,63.39,56.586,59.88,63.438,63.442,52.661,43.737,33.784,43.599,42.444,43.755,63.356,42.782,39.529,43.188,43.737,63.441,43.731,43.741,42.602,43.748,36.013,42.748,43.756,42.768,63.441,42.373,42.752,43.736,42.768,42.57,43.747,33.929,39.394,43.745,42.873,42.734,42.204,42.782,42.757,28.105,42.786,42.78
cap_gas_CCGT [GW],45.121,45.123,44.994,45.122,45.122,45.019,45.121,45.122,45.112,44.487,44.802,45.122,45.121,43.826,0.287,0.292,0.292,0.277,0.277,45.099,5.565,0.277,0.277,0.287,45.122,0.285,0.29,5.585,0.291,5.798,5.574,0.277,5.574,45.122,5.609,5.573,0.292,5.571,5.592,0.277,5.932,5.725,0.292,0.288,5.573,5.653,5.564,5.572,0.278,5.564,5.565
cap_coal [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0
cap_nuclear [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.164,7.07,7.163,7.151,7.162,0.0,0.002,7.168,7.161,7.162,0.0,7.162,7.163,0.017,7.165,0.001,0.008,7.162,0.011,0.0,0.005,0.008,7.165,0.009,0.016,7.162,0.008,0.008,7.164,7.161,0.008,0.013,0.001,0.011,6.884,0.001,0.002
