,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
used_solar [MWh],270075695.819,269827998.839,268051319.046,272504853.984,269200822.828,271079713.472,269668449.19,268833201.262,268459879.414,271092511.158,271176898.345,896226290.002,911442745.476,899649957.341,896432744.126,923063376.802,897167383.985,507557116.345,896192146.594,506957545.808,896508137.75,508187331.951,507277454.908,267675765.447,513702197.129,507126788.416,896545166.27,897389822.572,508236702.173,508133481.686,506488826.993,506857163.063,510571668.524,507372919.128,895352155.604,902181203.883
gas_OCGT_gen [MWh],36028091.7,37265206.8,36285245.1,38364822.0,35768706.0,36375649.8,35849862.0,36949625.4,35739404.1,36363556.8,37696245.3,8928848.7,5879127.0,7337784.0,9809489.7,4871039.4,8391012.6,7341739.2,9293591.4,6811951.2,9697297.5,6129709.2,6986305.8,35765576.1,5742944.1,6646436.4,9580785.0,7952097.9,7317665.1,7252749.3,6251526.9,6502329.0,5931412.5,7320708.9,9467101.8,6561705.9
gas_CCGT_gen [MWh],163907649.9,162157263.6,163543686.3,160601805.0,164274507.9,163415716.5,164159679.0,162603861.6,164315848.2,163432979.7,161547600.6,423838.8,439778.1,425755.8,413283.9,480168.9,413277.0,9865443.9,412511.1,10338733.5,412351.2,11323100.1,10194040.8,164279045.1,12417054.3,10482076.2,412288.8,419631.6,9879045.3,10018065.3,10958348.7,10676662.5,11746305.3,9979217.7,425733.0,432943.2
coal_gen [MWh],99.0,149.1,123.0,129.9,101.4,132.3,112.2,114.9,119.1,109.8,136.2,1590.9,1309.2,223.8,196.8,1686.0,207.6,1355.7,132.3,1917.0,157.8,1431.9,1709.4,89.4,2337.3,2394.3,190.5,171.6,239.4,161.4,2060.7,2050.8,1209.9,1526.1,2092.5,201.9
nuclear_gen [MWh],638.4,796.5,677.1,692.4,773.7,920.4,726.0,700.5,807.9,792.6,585.0,58323112.8,50063067.0,54262527.9,58765288.2,46015543.5,57013239.0,65752.5,58800265.8,117018.0,58766194.2,43683.9,88568.1,552.0,96646.8,120760.8,58666955.1,55828948.2,14238.6,9306.3,121898.4,90645.0,41320.2,86656.8,58846495.8,52580621.7
onwind_gen [MWh],387310366.8,441497320.5,423101349.9,459515623.5,399276659.4,377910023.1,393197151.0,429877747.2,406834520.1,377816337.9,450206314.8,2631917351.7,2676616918.8,2650600092.9,2633670114.6,2702942379.9,2639229468.3,1103574606.6,2634248137.2,1123176233.1,2633643360.0,1167739428.9,1115918845.5,417644261.4,1202564422.5,1129770330.3,2634368477.1,2642514631.5,1103905748.7,1108960410.3,1153418271.3,1140148824.3,1182759983.7,1105896756.3,2628840532.2,2662011835.2
offwind_gen [MWh],893814435.6,911295022.5,903833824.2,919158516.0,895371848.4,891800005.5,894736196.4,908160087.6,895526828.1,891719593.2,913987773.3,1907030270.1,1917444311.7,1909013150.7,1895487788.7,1913437073.7,1902793264.8,1144659618.6,1898229272.1,1145164982.4,1895382546.0,1147697329.2,1144093528.5,897482118.9,1149640514.1,1145084139.6,1894821136.8,1907664027.6,1140433800.9,1138492586.7,1147773654.0,1145446953.0,1149359692.2,1144859520.0,1908530500.5,1907690981.1
solar_gen [MWh],810227087.4,809483996.4,804153957.0,817514562.0,807602468.4,813239140.5,809005347.6,806499603.9,805379638.2,813277533.6,813530694.9,2688751677.3,2734399537.2,2698965501.9,2689314428.7,2769299113.8,2691520031.1,1522694364.3,2688590727.3,1520910207.9,2689538761.5,1524606942.6,1521861144.3,803027296.2,1541277809.1,1521421660.8,2689649390.1,2692186662.0,1524714981.0,1524403690.8,1519507744.8,1520616945.0,1531816873.5,1522145423.7,2686142815.8,2706557595.0
hydro_gen [MWh],512043343.8,512087335.5,511998604.2,512237448.3,511968085.8,512025735.3,512027679.9,511989460.8,511984549.2,512030472.6,512110908.0,512346304.8,512251257.9,512853198.9,512898421.2,512406382.2,512868664.2,512169631.5,512786729.7,511950280.8,512840045.4,512208990.9,512081722.2,511965981.6,512278566.9,511974859.8,512921604.0,512861235.0,512739182.7,512814195.3,512075194.2,512076877.2,512300764.8,512069911.8,511908387.9,512889435.9
tot_gen [MWh],2800.61,2870.659,2840.061,2903.805,2811.551,2792.055,2806.257,2853.114,2816.984,2791.928,2885.6,8014.074,8098.509,8037.562,8007.693,8149.611,8017.907,4729.426,8009.2,4744.839,8007.606,4788.872,4738.836,2827.352,4837.007,4750.281,8007.668,8024.434,4728.163,4730.949,4771.656,4758.983,4810.376,4731.503,8011.137,8051.985
cap_onwind [GW],160.151,163.92,162.653,164.77,160.229,159.655,160.022,162.856,161.479,159.681,164.367,1000.956,1009.974,1003.022,1000.63,1017.395,1001.743,453.72,1000.475,454.616,1000.682,458.764,454.207,162.763,460.747,454.839,1000.728,1001.673,453.955,454.909,457.846,455.97,459.709,454.196,1000.644,1006.642
cap_offwind [GW],221.642,219.275,220.564,218.133,221.484,221.619,221.549,220.285,221.078,221.603,218.573,451.433,447.313,451.105,451.428,443.435,451.371,278.097,451.708,277.657,451.348,276.882,277.692,220.657,275.59,277.574,451.383,451.767,277.951,277.648,277.342,277.575,276.442,277.92,451.64,449.842
cap_solar [GW],763.618,754.299,754.177,755.079,760.796,766.656,762.227,753.994,758.277,766.688,755.008,2451.698,2476.992,2456.302,2450.122,2494.605,2452.253,1422.608,2449.434,1421.821,2450.33,1416.393,1422.079,755.223,1420.222,1421.776,2450.141,2452.282,1422.628,1421.933,1416.59,1419.318,1417.188,1422.616,2449.623,2461.811
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],61.683,53.888,56.546,52.561,59.716,63.403,60.636,55.649,58.811,63.44,53.365,37.183,20.506,26.347,43.751,17.075,33.432,42.738,40.082,37.726,43.194,30.881,39.433,57.371,27.834,36.246,42.444,30.469,42.55,41.556,32.46,34.442,29.377,42.201,41.478,23.559
cap_gas_CCGT [GW],45.02,43.208,44.063,42.535,44.916,45.109,44.989,43.506,44.781,45.123,42.941,0.289,0.3,0.287,0.277,0.321,0.278,5.569,0.276,5.785,0.276,6.176,5.746,44.58,6.841,5.839,0.277,0.283,5.58,5.663,5.989,5.894,6.392,5.648,0.291,0.296
cap_coal [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.0
cap_nuclear [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.107,6.031,6.597,7.163,5.506,6.946,0.008,7.168,0.015,7.163,0.006,0.011,0.0,0.012,0.015,7.151,6.796,0.002,0.001,0.015,0.012,0.005,0.011,7.172,6.365
sector,,,,,,,,,,,,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H-I-B,T-H,T-H-I-B,T-H,T-H-I-B,T-H,T-H,,T-H,T-H,T-H-I-B,T-H-I-B,T-H,T-H,T-H,T-H,T-H,T-H,T-H-I-B,T-H-I-B
AL0 0 X Store,0.003,3.182,0.017,4.621,0.005,0.004,0.004,1.416,0.006,0.004,3.95,0.08,2.246,0.018,0.007,5.255,0.01,0.04,0.005,0.086,0.005,4.951,0.062,0.007,8.101,0.124,0.009,0.009,0.007,0.006,2.117,0.191,5.851,0.051,0.092,0.038
AT0 0 X Store,0.007,0.042,0.029,16.924,0.014,0.007,0.01,0.033,0.018,0.005,0.112,0.152,37.958,0.056,0.008,70.077,0.021,0.043,0.01,0.096,0.007,0.147,0.074,0.018,4.032,0.117,0.012,0.022,0.009,0.008,0.172,0.13,0.301,0.066,0.135,0.729
BA0 0 X Store,0.003,0.007,0.006,0.011,0.005,0.004,0.004,0.007,0.005,0.004,0.007,0.075,0.107,0.013,0.007,0.207,0.008,0.039,0.005,0.063,0.005,0.061,0.051,0.004,0.133,0.074,0.009,0.008,0.007,0.005,0.085,0.075,0.07,0.047,0.087,0.014
BE0 0 X Store,0.01,0.783,0.118,45.056,0.026,0.008,0.015,0.121,0.038,0.005,10.785,0.298,79.469,7.478,0.009,96.102,0.053,0.047,0.019,0.178,0.008,0.554,0.12,0.047,35.982,0.241,0.018,0.091,0.01,0.011,0.473,0.309,4.132,0.087,0.213,52.562
BG0 0 X Store,0.003,0.018,0.008,0.052,0.005,0.004,0.004,0.015,0.006,0.004,0.026,0.085,12.754,0.029,0.007,21.24,0.012,0.04,0.005,0.084,0.005,4.969,0.062,0.005,19.238,0.114,0.009,0.012,0.007,0.006,0.374,0.162,11.572,0.052,0.094,3.011
CH0 0 X Store,0.008,83.339,9.584,94.252,0.02,0.007,0.012,50.055,0.031,0.005,102.433,0.105,1.293,0.021,0.008,29.827,0.013,0.043,0.007,0.099,0.006,0.202,0.075,0.077,32.519,0.127,0.01,0.012,0.009,0.008,0.204,0.147,0.758,0.065,0.108,0.034
CZ0 0 X Store,0.004,0.012,0.008,0.036,0.007,0.005,0.005,0.01,0.007,0.004,0.016,0.113,0.248,0.024,0.008,0.691,0.014,0.04,0.007,0.075,0.006,0.072,0.06,0.006,0.191,0.087,0.01,0.014,0.008,0.006,0.098,0.087,0.093,0.054,0.113,0.029
