,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
ES0 0 X Store,0.011,0.018,0.014,0.029,0.068,0.008,0.012,0.024,0.018,0.007,0.043,95.748,171.158,0.184,0.008,0.06,0.096,7.209,0.169,0.023,200.245,1.486,0.023,20.092,0.278,1.682,0.11,0.053,55.153,0.048,0.754,0.1,0.105,131.825,0.031,0.163
ES2 0 X Store,1.133,3.21,1.756,4.774,7.141,0.043,1.355,3.942,2.04,0.01,6.914,3.084,15.314,0.192,0.009,0.064,0.113,7.034,0.337,0.029,17.907,5.173,2.952,7.678,0.395,1.044,0.144,0.062,1.119,0.053,2.272,0.122,0.13,11.678,0.036,0.213
FI3 0 X Store,0.005,0.007,0.006,0.012,1.927,0.004,0.005,0.01,0.007,0.004,0.022,54.622,59.774,30.092,0.01,39.49,0.138,2.709,1.165,0.111,65.789,1.868,0.009,3.207,1.748,43.131,1.157,0.047,48.971,0.045,1.508,0.139,0.656,58.433,10.096,1.731
FR0 0 X Store,0.013,0.024,0.017,0.047,0.076,0.009,0.014,0.034,0.021,0.007,0.061,0.117,0.038,0.084,0.009,0.017,0.106,0.135,0.059,0.015,0.047,0.181,0.027,0.198,0.131,0.171,0.081,0.06,0.03,0.053,0.163,0.097,0.089,0.182,0.018,0.1
GB4 0 X Store,11.471,30.347,14.879,34.919,39.263,5.115,12.563,32.821,18.388,0.027,35.408,28.923,36.755,18.555,0.012,17.69,0.224,36.203,31.211,6.441,40.037,34.584,21.357,38.029,23.48,19.309,18.116,0.242,24.318,0.103,32.702,7.954,16.429,33.492,15.302,19.888
GB5 0 X Store,230.203,726.076,387.289,856.942,976.16,0.1,311.907,802.137,469.19,0.017,916.971,460.962,643.409,215.769,0.011,245.868,0.172,734.929,479.661,12.199,674.4,656.159,588.228,825.883,383.004,293.829,136.946,0.177,379.207,0.093,589.173,1.106,13.59,510.115,129.01,271.891
GR0 0 X Store,0.006,0.007,0.007,0.011,0.03,0.005,0.006,0.009,0.008,0.005,0.016,0.605,43.978,0.055,0.008,0.013,0.079,14.547,0.142,0.01,67.0,3.935,0.008,38.912,0.189,0.16,0.064,0.048,0.051,0.046,0.91,0.065,0.06,4.297,0.012,0.101
HR0 0 X Store,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.065,0.021,0.045,0.007,0.008,0.073,0.09,0.03,0.009,0.021,0.116,0.005,0.142,0.062,0.072,0.041,0.042,0.013,0.041,0.095,0.053,0.047,0.105,0.011,0.049
HU0 0 X Store,0.004,0.004,0.004,0.006,0.006,0.004,0.004,0.005,0.005,0.004,0.005,0.055,0.017,0.046,0.007,0.008,0.073,0.072,0.029,0.009,0.015,0.087,0.005,0.117,0.061,0.071,0.04,0.042,0.012,0.041,0.077,0.053,0.047,0.085,0.011,0.049
IE4 0 X Store,0.044,0.426,0.07,0.538,3.537,0.02,0.055,0.659,0.114,0.012,2.536,79.033,101.322,43.297,0.014,56.709,0.483,27.304,19.345,36.223,103.522,24.977,0.202,28.506,17.189,72.055,14.056,0.268,74.402,0.097,24.065,9.913,13.814,85.551,40.058,16.289
IT0 0 X Store,0.007,0.009,0.008,0.015,0.017,0.005,0.007,0.013,0.01,0.005,0.016,0.05,0.012,0.053,0.008,0.009,0.085,0.069,0.034,0.011,0.01,0.095,0.012,0.101,0.078,0.083,0.051,0.049,0.014,0.047,0.092,0.065,0.058,0.067,0.012,0.062
IT1 0 X Store,0.013,0.468,0.023,3.596,7.512,0.008,0.018,2.814,0.035,0.006,5.327,0.055,0.016,0.052,0.008,0.01,0.083,0.123,0.04,0.011,0.015,0.137,0.07,0.197,0.088,0.085,0.055,0.051,0.014,0.048,0.118,0.068,0.062,0.082,0.012,0.068
LT6 0 X Store,0.006,0.009,0.008,0.014,0.018,0.005,0.007,0.012,0.009,0.005,0.016,0.29,0.068,0.109,0.009,0.028,0.11,0.33,0.171,0.019,0.063,0.433,0.011,0.404,0.405,0.333,0.252,0.048,0.073,0.046,0.457,0.11,0.248,0.393,0.022,0.313
LU0 0 X Store,17.18,38.256,23.66,46.616,47.469,8.638,20.607,45.683,26.044,0.099,47.671,0.251,0.253,0.109,0.01,0.025,0.117,0.186,0.054,0.021,7.494,0.196,31.963,0.316,0.116,0.262,0.074,0.053,0.051,0.048,0.163,0.088,0.082,0.587,0.024,0.087
LV6 0 X Store,0.006,0.009,0.008,0.015,0.018,0.005,0.007,0.012,0.01,0.005,0.016,0.662,0.163,0.134,0.01,0.037,0.12,0.338,0.173,0.022,0.184,0.442,0.011,0.414,0.413,0.508,0.254,0.048,0.15,0.046,0.465,0.111,0.255,0.909,0.026,0.315
ME0 0 X Store,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.108,0.034,0.046,0.007,0.009,0.074,0.182,0.044,0.01,0.037,0.2,0.005,0.265,0.081,0.084,0.043,0.043,0.019,0.042,0.152,0.055,0.049,0.179,0.011,0.054
MK0 0 X Store,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.461,0.3,0.051,0.007,0.012,0.075,9.568,0.145,0.01,0.249,4.65,0.005,10.027,0.185,0.153,0.061,0.045,0.046,0.043,1.027,0.059,0.055,1.427,0.011,0.096
