,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
ES2 0 solar rooftop,262738.714,262799.965,262856.558,263340.107,264286.689,264289.773,258300.405,263049.997,264185.161,258149.749,263224.211,263146.476,263155.858,262918.656,262867.519,257175.519,257661.102,262781.875,262792.419,264293.905,254399.945,264289.535,258298.793,264169.4,264287.724,254474.095,264256.847,259783.635,263363.244,259061.551,263505.388,262300.627,264293.908,264292.028,258575.214,264282.778,260077.901,258719.333,264234.579,254375.872,255397.927,264293.25,264297.023,262863.021,264271.601
FI3 0 solar rooftop,1242661.66,1241253.978,1147523.817,986695.86,1285565.55,1285758.51,1282303.339,1244206.501,1285342.31,1282815.003,1121693.423,1199319.145,1286148.694,801756.507,1151777.833,1281919.55,1282041.081,1168427.145,1243764.239,1285989.091,1281357.98,1285852.237,1283474.79,1285856.57,1285752.182,1281394.561,1282397.357,1016308.248,619348.436,1282931.484,1155429.704,1215823.401,1285872.086,1285981.01,1284113.329,1285820.554,1283794.094,1282546.272,1285948.25,1280870.873,1281193.947,1285834.7,1285931.683,1285874.209,1285755.94
FR0 0 solar rooftop,21133230.751,21133226.161,21133149.428,21133895.999,21132592.122,21132847.261,21117307.528,21133216.847,21133085.121,21121911.644,21133543.791,21133383.786,21133903.59,21133941.118,21133267.056,21117536.76,21115248.727,21133206.673,21132903.608,21132883.55,21116583.481,21132607.141,21123921.043,21133034.078,21132525.043,21116630.189,21120344.43,21128981.414,21134172.247,21120374.732,21133852.294,21132910.633,21132546.033,21133185.402,21127440.951,21132888.301,21123274.105,21118272.781,21133320.475,21114131.605,21113934.477,21132572.16,21132358.414,21133000.792,21133038.188
GB4 0 solar rooftop,409945.987,404402.163,411126.72,125970.34,442970.578,443247.075,437197.998,385274.641,442630.522,438485.798,408105.195,404041.319,442875.05,71.144,403717.472,436573.261,437217.475,410024.92,394169.17,443472.801,434938.06,443253.148,437450.934,443085.36,443149.857,434926.535,440285.653,352902.014,23.351,438363.868,401468.208,410956.181,443338.133,443419.791,438078.605,443282.744,438987.598,438263.337,443312.917,434012.452,434074.718,443331.39,443427.318,442873.711,443201.505
GB5 0 solar rooftop,17039440.113,17039365.285,17039393.156,17039950.696,17039534.313,17039694.083,17021215.553,17038911.932,17039421.834,17026959.921,17039514.058,17039626.532,17039992.374,16604645.116,17039238.609,17021416.965,17018791.651,17039504.482,17038384.038,17039706.545,17021275.315,17039459.82,17027534.311,17039279.996,17039282.844,17020694.717,17028076.035,17032136.461,15532324.628,17025033.291,17040036.888,17038997.636,17039497.294,17040050.351,17031148.781,17039743.972,17027349.423,17022551.894,17039623.726,17018082.579,17017264.64,17039533.155,17039236.654,17039424.405,17039620.193
GR0 0 solar rooftop,3561913.409,3562040.727,3561556.174,3562597.286,3559673.393,3560630.443,3535142.783,3562151.831,3559679.691,3542909.168,3561553.111,3562232.41,3560656.055,3562427.253,3561410.414,3537193.604,3534404.57,3561717.075,3561779.535,3561350.458,3534016.851,3560573.458,3541509.156,3558681.23,3560547.288,3535258.18,3544271.552,3555296.804,3562605.853,3541317.261,3562217.508,3561210.251,3561135.754,3561435.512,3545227.755,3560282.043,3543763.145,3539250.054,3559885.382,3531136.008,3531070.228,3560368.628,3560984.458,3560397.629,3560371.848
HR0 0 solar rooftop,1323350.452,1324647.2,1321136.993,1315036.545,1350014.362,1350478.442,1345461.587,1324366.6,1350368.695,1346235.955,1316802.299,1323040.582,1350502.051,1312097.351,1319130.961,1345076.303,1345291.01,1323360.565,1324365.736,1350730.316,1344581.258,1350537.778,1346160.92,1350429.086,1350429.08,1344850.485,1345790.386,1313479.338,1294114.928,1346408.49,1319175.297,1323337.327,1350585.096,1350713.351,1346543.319,1350397.177,1346794.017,1346003.355,1350615.661,1344107.498,1344158.333,1350371.473,1350653.456,1350462.786,1350451.609
HU0 0 solar rooftop,3325334.446,3326241.538,3318107.549,3318340.731,3339262.32,3339489.851,3335951.071,3327477.235,3339370.124,3336657.451,3317448.069,3321563.475,3339764.613,3315037.725,3315307.894,3335802.752,3335406.732,3317134.187,3327212.186,3339654.087,3335513.478,3339494.728,3337203.178,3339170.604,3339490.715,3335636.494,3336190.765,3314987.346,3304811.448,3336691.322,3316760.062,3321951.095,3339563.062,3339656.511,3337685.865,3339440.368,3337388.52,3336160.295,3339433.511,3335119.619,3334994.143,3339421.406,3339624.276,3339668.797,3339499.462
IE4 0 solar rooftop,1175275.057,1175308.546,1175322.046,1175557.587,1174927.402,1175214.908,1166684.019,1175375.399,1174673.025,1168682.234,1175324.907,1175519.476,1175007.747,1175405.033,1175117.111,1166212.456,1165883.545,1175349.62,1175212.211,1175512.798,1165388.469,1175292.196,1167662.405,1174993.107,1175113.087,1165316.689,1169772.891,1172036.686,1175637.555,1168514.787,1175606.449,1175024.377,1175356.095,1175486.576,1169094.299,1175274.916,1168960.13,1167807.536,1175252.358,1164108.244,1163583.342,1175327.092,1175375.763,1174874.782,1175117.799
IT0 0 solar rooftop,21383159.18,21383180.408,21382933.116,21384163.394,21380164.954,21380866.237,21336057.868,21383258.122,21380797.929,21350367.009,21383673.202,21383412.831,21382133.906,21384078.436,21383162.626,21338587.701,21332846.245,21383093.34,21382727.843,21380995.525,21334040.735,21379827.317,21354117.853,21380476.397,21379630.755,21334976.74,21349973.359,21375681.548,21384460.016,21344250.435,21384157.544,21382620.99,21379994.394,21381880.142,21363451.485,21380733.66,21355208.884,21341888.913,21381538.768,21327486.743,21328411.901,21379995.389,21379554.725,21380333.392,21380662.205
IT1 0 solar rooftop,647038.269,647081.193,647193.924,647632.802,646244.639,646959.614,627474.703,647360.055,645833.17,632260.624,647444.869,647532.351,645654.439,647045.645,647063.161,626006.664,628268.57,647215.597,647086.632,647420.514,619666.549,646883.154,632730.572,646038.003,646662.009,620575.191,636873.955,643351.521,647250.656,630861.057,647821.249,646641.466,647013.452,647396.612,633327.038,646899.574,635827.649,631182.584,646880.383,617379.502,617596.701,646934.831,647177.171,646150.731,646805.416
LT6 0 solar rooftop,760250.439,758535.232,758786.577,674188.169,780726.647,780958.259,777362.578,758566.446,780639.058,778003.064,739031.046,762513.214,781263.789,720331.109,760127.727,776886.717,777063.201,756701.963,758022.17,781167.659,776213.613,780990.519,778553.585,781013.234,780920.027,776351.678,777910.55,702439.303,624014.659,778029.264,734147.252,753999.711,781045.654,781139.691,779103.276,780954.802,778796.419,777631.454,781125.035,775775.335,775810.169,781000.787,781105.611,781042.968,780950.794
LU0 0 solar rooftop,165255.698,164125.586,168377.311,170050.428,169653.859,169786.979,166374.477,161957.369,169766.551,165990.057,169641.676,168744.19,170251.419,169941.89,169334.358,165462.128,165550.038,168376.641,162287.107,169991.084,164599.786,169884.91,168332.391,170094.978,169842.635,164596.126,167871.503,168651.669,170209.299,166537.743,169639.56,166782.287,169856.269,169944.91,168928.155,169872.331,168706.765,166110.828,170121.672,164388.051,164581.447,169895.529,169952.546,168468.385,169973.157
LV6 0 solar rooftop,515462.511,515476.358,515472.079,515670.394,514840.839,515105.04,512126.765,515561.226,514655.683,512718.341,515556.133,515562.342,515492.089,515610.977,515451.795,511643.749,512056.811,515478.763,515482.004,515341.868,510631.828,515064.856,513015.112,515142.728,514966.777,510792.41,511868.304,514363.278,515687.263,512655.197,515642.725,515350.236,515177.002,515297.533,513421.678,515084.941,513436.218,512506.824,515267.855,510301.712,510412.051,515164.778,515265.987,515339.923,515081.777
ME0 0 solar rooftop,269128.391,269186.209,268883.299,269903.389,269963.702,270298.872,268780.96,269729.407,269644.587,269216.19,269360.995,269626.007,270687.939,269438.27,268705.881,268761.608,269035.509,268826.124,269426.695,270611.127,267596.008,270300.822,269036.203,270084.209,270234.417,267902.284,267933.552,265139.037,269868.104,269144.059,269720.745,268530.32,270539.327,270551.931,268112.161,270289.295,269496.467,269368.41,270416.056,267607.672,268057.354,270413.057,270632.44,270845.788,270312.675
MK0 0 solar rooftop,821348.097,821379.167,821267.952,821882.655,819903.732,820563.634,811941.676,821535.414,819558.889,814172.003,821421.286,821588.019,820399.275,821747.375,821052.831,812059.635,813629.611,821338.619,821319.739,821237.124,809978.555,820612.531,813382.835,819877.169,820508.723,810581.496,814145.166,818266.495,821871.682,813421.036,821748.497,820895.743,820860.155,821101.329,813353.73,820487.872,815638.466,813931.839,820454.351,809388.176,810165.782,820688.384,821122.443,821100.118,820814.252
NL0 0 solar rooftop,4445602.761,4445653.471,4445610.04,4446070.402,4445009.927,4445140.392,4433542.641,4445628.514,4445119.327,4436625.247,4445656.226,4445790.364,4445761.181,4445955.612,4445439.452,4433196.609,4431820.178,4445636.834,4445406.592,4445501.943,4432045.069,4445486.35,4437803.446,4445188.34,4445179.729,4432186.543,4436095.167,4442044.804,4446132.698,4435940.152,4446010.881,4445303.695,4445377.262,4445659.421,4439818.467,4445325.916,4438628.958,4434385.512,4445447.446,4430189.353,4429997.546,4445304.183,4445167.151,4445248.365,4445215.984
NO3 0 solar rooftop,60.362,55.431,53.501,125.091,1234788.169,1234835.404,1233975.675,50.58,1234709.433,1233930.788,66.869,57.23,1234958.307,32461.137,63.664,1233588.132,1233618.15,42.609,61.051,1234868.967,1233428.358,1234831.713,1234809.888,1234801.12,1234803.776,1233414.346,1234050.387,496.75,144992.821,1234061.504,60.116,53.256,1234846.383,1234873.564,1234854.792,1234828.962,1234577.002,1233918.919,1234823.674,1233332.788,1233367.646,1234837.774,1234850.994,1234868.526,1234803.886
PL0 0 solar rooftop,8395373.639,8427800.771,8664721.011,8650474.491,10862403.48,10862533.19,10853216.767,8435170.691,10862518.601,10855365.696,8598545.916,8526389.247,10863134.378,8140478.579,8620056.898,10852897.254,10851690.386,8609446.872,8439526.518,10862648.768,10851926.228,10862432.153,10857537.134,10862541.566,10862371.432,10852299.607,10854249.739,8724855.336,7855012.176,10855071.972,8647417.837,8451071.319,10862402.424,10862841.964,10858738.438,10862626.974,10857618.967,10853662.498,10862763.518,10850607.551,10850492.059,10862427.588,10862273.889,10862615.051,10862541.763
PT0 0 solar rooftop,3821665.216,3821805.308,3821334.759,3822515.484,3820320.651,3821016.157,3801805.653,3821795.987,3821845.711,3806910.283,3821842.083,3821909.492,3822033.223,3821986.936,3821316.548,3801995.102,3800010.735,3821458.635,3821355.038,3821545.25,3799563.136,3821251.944,3808833.374,3821163.708,3821016.869,3800288.701,3805948.081,3816382.832,3822316.233,3806108.124,3822497.248,3820878.771,3821294.639,3821756.217,3813363.659,3821057.686,3808815.052,3804071.347,3821987.777,3796854.283,3796891.544,3820673.395,3821314.159,3821215.977,3822088.391
RO0 0 solar rooftop,7062993.786,7064308.596,7054457.673,7037233.39,7079963.467,7080223.2,7070958.958,7066150.273,7080420.079,7073512.784,7048199.618,7060266.993,7080656.336,7043511.297,7052215.868,7071151.481,7070314.878,7058157.036,7065733.085,7080483.205,7070260.697,7079987.731,7073850.626,7079936.874,7080010.794,7070686.324,7072403.392,7036983.692,7038489.979,7072921.742,7050110.182,7060908.676,7080286.382,7080495.893,7074776.471,7080235.439,7074337.251,7072142.534,7080411.404,7069234.707,7069018.346,7080060.072,7080190.903,7080492.781,7080460.793
RS0 0 solar rooftop,2598496.302,2598136.167,2600861.201,2600249.739,2593955.633,2594373.111,2576656.554,2597445.352,2600898.744,2580051.9,2599597.884,2600418.56,2569246.276,2595820.73,2600330.637,2578861.002,2576672.305,2600703.182,2597329.706,2596217.227,2575553.628,2596115.456,2577758.599,2599229.52,2599302.801,2578206.276,2582336.656,2596841.988,2589783.392,2576393.816,2600822.687,2599009.026,2595943.931,2595891.959,2579229.337,2594623.421,2580603.614,2579850.48,2601594.779,2577037.785,2576675.34,2594766.177,2596148.231,2579578.585,2601867.678
SE3 0 solar rooftop,2553460.395,2553452.292,2553455.242,2553535.926,2552528.246,2552758.161,2549619.777,2553490.673,2552509.796,2550209.452,2553487.508,2553501.902,2553243.666,2553506.293,2553455.848,2549350.463,2549182.194,2553453.781,2553461.055,2553006.789,2548881.388,2552840.664,2550596.855,2552721.381,2552703.704,2548979.208,2548245.647,2552950.687,2553529.98,2550248.079,2553535.08,2553397.764,2552863.303,2553037.447,2551130.195,2552780.127,2550841.59,2549804.386,2552865.539,2548477.757,2548486.615,2552758.728,2552904.889,2553055.378,2552695.639
SI0 0 solar rooftop,843912.077,845422.946,842435.906,835876.704,902037.728,904284.605,902799.507,845878.566,921991.51,902964.097,832023.329,845033.884,900400.879,511921.873,839362.129,902478.743,903266.211,845119.538,846430.872,903591.338,901668.322,900410.791,907536.865,910997.847,900445.467,902636.007,909774.974,837419.717,186986.853,902072.102,832389.179,845385.567,903994.627,904402.666,907817.301,899852.23,905505.018,903343.516,912236.92,902273.819,903679.538,902415.469,903578.14,902075.346,906905.948
SK0 0 solar rooftop,1720405.027,1720433.234,1720369.246,1720814.886,1719988.547,1720471.136,1714240.176,1720526.297,1720118.495,1715367.806,1720487.646,1720570.283,1720598.653,1720255.869,1720325.188,1713854.352,1713834.284,1720376.627,1720384.167,1720654.488,1713319.904,1720318.199,1716732.674,1720173.146,1720230.517,1713551.267,1716697.687,1718359.378,1716458.064,1715525.395,1720721.847,1720117.76,1720547.981,1720667.073,1717551.498,1720250.302,1716481.678,1714939.521,1720404.654,1712489.311,1712526.354,1720351.137,1720652.671,1720304.19,1720186.343
AL0 0 ror,60306.099,60313.432,60123.725,60792.703,60773.57,60801.43,60026.512,60456.918,60487.493,60165.095,60007.747,60351.76,61112.069,60605.255,60044.135,59909.695,59875.301,60120.917,60292.845,60981.397,59579.491,60834.336,60028.298,60809.339,60727.563,59556.716,59805.399,59270.14,60735.441,60085.348,60186.38,60075.156,60843.574,60974.566,59955.464,60783.419,60570.041,60062.775,60827.593,59452.828,59563.752,60967.865,60953.918,61037.364,60789.332
AT0 0 ror,7333185.106,7339736.922,7331000.957,7398842.275,7593480.574,7593794.407,7554397.236,7347491.974,7593139.0,7557647.881,7328276.001,7328853.018,7595548.755,7412290.187,7340321.822,7554188.196,7552654.793,7329539.837,7348882.566,7594331.627,7550751.544,7594391.483,7583684.012,7593457.099,7593576.431,7551358.792,7578734.777,7322622.069,7491136.359,7556090.92,7330004.201,7331469.637,7593922.109,7594594.385,7588189.393,7593765.626,7572930.165,7556395.819,7593975.362,7548910.28,7550037.781,7594005.441,7593763.825,7570708.144,7593529.038
BE0 0 ror,107183.219,107258.95,107189.119,107610.642,107024.031,107101.751,105275.188,107326.18,106919.497,105778.75,107247.444,107333.654,107644.185,107482.161,107174.978,105179.929,105141.894,107160.531,107157.357,107322.806,104392.79,107205.012,105713.109,107376.834,107115.568,104315.866,105262.905,105737.464,107652.008,105664.344,107461.857,107004.993,107096.66,107316.812,105949.771,107096.92,106283.702,105557.266,107353.743,104056.08,104337.355,107292.902,107267.427,107332.518,107123.796
BG0 0 ror,14333.237,14342.316,14328.339,14445.392,14117.979,14111.023,13986.555,14384.536,14081.29,14038.989,14352.914,14383.101,14385.825,14372.932,14322.817,13969.67,13963.818,14304.65,14313.021,14194.236,13886.077,14142.664,14042.56,14150.234,14107.604,13886.924,13892.994,14058.507,14456.436,14025.24,14393.561,14253.082,14134.79,14201.49,14002.852,14095.219,14172.481,14003.066,14168.63,13865.376,13889.918,14189.456,14184.268,14326.505,14162.155
CH0 0 ror,4494478.145,4490730.73,4494666.156,4510432.392,4515658.813,4515822.324,4499716.365,4490584.497,4514860.582,4505517.326,4504389.993,4494778.449,4516917.688,4516571.155,4499016.56,4499909.745,4498872.316,4494449.737,4490267.456,4516340.92,4496183.401,4516294.136,4505242.143,4515140.653,4515452.908,4496576.817,4501217.893,4504003.436,4512542.523,4502556.509,4504038.929,4494088.771,4515945.262,4516589.739,4508055.307,4515799.006,4507625.09,4503130.66,4515775.989,4493800.279,4493793.547,4516215.949,4515837.824,4516458.799,4515369.121
CZ0 0 ror,49288.252,49315.797,49290.194,49477.074,49436.095,49461.322,49058.107,49354.473,49105.503,49110.013,49340.989,49346.691,49568.312,49408.588,49290.674,48975.8,48952.177,49266.681,49283.587,49505.13,48831.608,49415.353,49166.677,49332.132,49331.656,48804.356,49121.356,48798.331,49521.439,49125.001,49394.218,49186.381,49449.911,49508.512,49162.673,49410.034,49295.936,49062.772,49325.562,48746.629,48762.884,49492.267,49494.865,49502.925,49225.039
DE0 0 ror,5340099.547,5340163.515,5340217.224,5340897.372,5339820.225,5339939.797,5328001.506,5340277.725,5339515.688,5332328.869,5340476.07,5340505.293,5341051.053,5341081.412,5340078.144,5328374.595,5327741.798,5340289.055,5339904.247,5340348.527,5325811.954,5340364.329,5334057.718,5340104.948,5339850.348,5326107.256,5330024.317,5336123.886,5341410.881,5330169.42,5340910.362,5339724.109,5340129.2,5340532.987,5335987.498,5339809.642,5334830.786,5330710.217,5340285.004,5323998.432,5324242.17,5340189.573,5340054.724,5340362.986,5339763.285
ES0 0 ror,168086.323,168162.079,168066.23,168462.755,166798.434,166902.976,163418.003,168220.922,166173.12,164887.084,168262.125,168234.159,168128.413,168210.034,168111.303,163609.01,163335.358,168044.236,168042.048,167464.305,161077.352,167116.414,163990.894,167080.759,166791.655,161015.442,161796.618,166770.473,168415.181,164407.897,168444.819,167872.751,166938.722,167412.41,164157.532,166978.57,165823.935,164418.975,167282.457,160278.658,161205.184,167421.807,167297.963,167865.588,167091.687
FI3 0 ror,2310028.284,2310015.136,2310027.574,2310164.834,2308019.498,2308310.798,2299543.202,2310081.344,2306793.225,2304008.884,2310086.934,2310116.63,2309456.205,2310141.98,2310040.876,2301497.791,2301898.216,2310035.674,2310025.295,2308879.786,2296493.476,2308581.719,2302989.723,2308337.574,2308119.606,2296490.856,2298815.021,2309319.844,2310194.718,2301515.835,2310157.964,2309920.843,2308576.671,2308883.86,2304019.061,2308225.86,2304343.554,2303493.714,2308454.915,2295435.545,2297580.258,2308600.462,2308655.114,2309100.092,2307771.167
FR0 0 ror,10167365.175,10167428.103,10167527.745,10168102.161,10165321.002,10165555.604,10143551.644,10167473.338,10165434.554,10151209.372,10167746.931,10167673.615,10167451.737,10168302.947,10167421.134,10144409.634,10142211.987,10167521.051,10167198.489,10166004.203,10142161.069,10166124.459,10152651.314,10165858.331,10165189.076,10142172.824,10147996.189,10164028.163,10168500.136,10147872.592,10168057.247,10167129.188,10165623.662,10166413.257,10157929.227,10165447.364,10152770.878,10146876.023,10166154.18,10138629.993,10138389.752,10165823.862,10165342.55,10166140.841,10165312.743
GB4 0 ror,91107.278,91186.455,91072.909,91261.848,90062.969,90207.075,86020.338,91136.016,89029.858,87795.265,91008.068,91312.424,90981.876,90770.195,90938.766,86558.27,86426.456,91064.458,90998.386,90714.44,84393.16,90337.143,85523.411,90278.515,90032.113,84290.86,86205.504,87929.986,91270.242,87108.95,91334.226,90866.019,90239.086,90682.479,85596.015,90219.399,87907.677,87373.916,90307.843,83701.362,84658.126,90667.057,90577.539,90666.099,89871.936
GB5 0 ror,1270750.395,1270794.718,1270804.714,1271165.715,1269328.355,1269428.616,1240321.45,1270760.285,1266593.476,1255775.807,1270855.971,1271095.904,1269361.516,1271008.383,1270613.65,1245829.01,1245200.145,1270859.796,1270359.555,1270047.866,1226587.957,1269634.298,1243757.335,1268587.941,1268547.457,1225375.474,1253557.899,1265554.766,1271351.297,1246744.776,1271383.339,1270404.166,1269455.269,1270260.657,1247202.367,1269220.02,1254630.466,1252906.043,1269257.67,1220578.913,1228327.086,1270162.921,1269473.399,1268625.066,1268254.611
GR0 0 ror,80034.524,80086.993,79979.629,80371.144,79766.05,79810.977,78764.129,80197.809,79388.745,79064.319,80077.921,80175.924,80200.236,80222.536,79957.661,78783.382,78763.15,79972.6,80027.058,80045.386,78389.939,79850.864,78961.459,79785.632,79729.019,78395.294,78648.602,78689.896,80399.359,78985.198,80229.919,79804.146,79857.032,80036.324,78864.544,79749.734,79407.658,78961.005,79817.084,78284.351,78413.503,80011.872,80006.1,80067.209,79722.598
HR0 0 ror,417569.015,417588.134,416976.107,417373.241,421123.858,421225.345,419942.062,417567.358,421006.715,420510.013,416208.048,417649.752,421642.268,417228.655,416548.328,420110.424,419992.459,417459.418,417385.123,421435.284,418935.552,421283.793,420010.739,421316.03,421137.906,419113.037,418645.591,414958.189,416317.795,420276.38,416170.032,417351.162,421257.061,421385.917,419904.191,421229.05,420748.313,420396.698,421432.769,418723.152,419148.374,421374.352,421364.339,421574.598,421194.615
HU0 0 ror,25701.031,25719.633,25684.225,25835.178,25914.333,25917.77,25787.166,25772.441,25844.809,25796.438,25724.059,25752.266,26046.418,25777.335,25683.562,25736.552,25727.377,25668.643,25700.891,25964.586,25684.122,25924.617,25837.016,25921.973,25900.08,25673.492,25707.762,25271.919,25835.085,25800.238,25753.433,25611.956,25926.084,25968.676,25804.086,25909.86,25910.705,25772.394,25936.379,25657.787,25663.238,25965.017,25959.526,26016.626,25895.49
IE4 0 ror,195860.991,195941.525,195846.869,196096.163,194745.069,194928.441,189116.725,196000.847,193436.319,192083.624,195874.546,196058.336,195650.892,195854.566,195786.613,190377.851,189987.249,195847.959,195823.561,195382.352,186542.953,194965.032,188524.77,194701.012,194565.035,186387.408,188368.38,193186.762,196205.091,190786.748,196149.975,195660.828,194886.434,195358.177,188965.882,194924.588,191832.236,191439.663,194912.283,185314.323,187168.346,195370.938,195168.861,195320.291,194437.786
IT0 0 ror,10505931.262,10506126.896,10505930.577,10507207.296,10502250.096,10502699.66,10454837.545,10506291.388,10502549.264,10470580.217,10506582.91,10506336.011,10503605.375,10507238.122,10505867.146,10457642.557,10451612.546,10505982.487,10505795.847,10503343.797,10451927.127,10503654.277,10474121.073,10502327.042,10501876.565,10452860.526,10471767.668,10501386.198,10507585.843,10464096.259,10507107.309,10505405.415,10502663.145,10504040.419,10480733.162,10502708.556,10475692.399,10461601.823,10503370.345,10445334.229,10445929.634,10503239.811,10502228.361,10502300.09,10502515.338
IT1 0 ror,38240.473,38282.736,38317.551,38522.48,37766.278,37792.475,35945.837,38390.475,37554.106,36267.102,38404.473,38424.766,38235.752,38202.573,38345.167,35708.99,35675.581,38271.999,38223.975,38089.077,35008.109,37890.868,36381.791,37744.609,37753.04,35051.184,36412.701,37390.835,38435.177,36235.659,38527.786,38090.311,37826.822,38075.996,36052.529,37783.004,37055.269,36077.795,37931.431,34810.279,34975.0,38056.476,38027.305,38090.565,37840.605
LT6 0 ror,169764.893,169807.989,169764.419,169968.486,169033.238,169178.949,167809.417,169861.306,168638.951,168403.82,169825.608,169849.323,169897.328,169881.706,169783.094,167865.533,167765.456,169756.825,169777.643,169430.495,166653.98,169216.473,168077.877,169262.266,169081.085,166644.415,166440.762,168818.355,169987.499,168215.685,169925.081,169677.388,169187.967,169381.543,168151.505,169172.325,168839.917,168223.366,169320.161,166241.675,166772.548,169382.306,169368.296,169702.048,169036.642
LU0 0 ror,54702.147,54269.747,55900.287,56446.658,55946.562,55947.859,54794.314,53517.347,55872.247,54781.645,56168.336,55911.142,56705.339,56438.429,56092.937,54440.165,54437.834,55813.064,53546.665,56189.558,54231.771,56096.252,55749.756,56351.818,56012.989,54207.06,54759.286,55554.691,56688.882,54847.387,56264.669,55090.878,55976.35,56183.739,55898.509,56001.268,55799.998,54683.56,56286.817,54123.043,54113.462,56162.197,56143.513,55807.628,56073.411
LV6 0 ror,960411.46,960433.628,960426.737,960701.743,959064.246,959398.35,954910.818,960535.53,958345.244,957206.491,960538.45,960541.101,960456.906,960656.547,960462.296,955875.008,955694.439,960424.861,960424.293,959815.284,951742.183,959415.752,956276.716,959372.289,959116.884,951893.779,952647.494,959098.92,960747.297,956100.966,960650.289,960274.966,959466.614,959723.284,956613.635,959315.54,957659.047,957010.722,959530.464,951017.906,952830.877,959618.193,959662.51,960186.9,959035.182
ME0 0 ror,352175.362,352256.091,351920.094,352735.576,352316.895,352434.132,350122.881,352468.103,351779.876,350823.523,352098.201,352403.729,353146.208,352559.659,351910.998,350171.066,349970.135,351980.149,352178.124,352749.244,348656.309,352470.523,350736.706,352335.776,352265.608,348694.833,349105.23,349565.822,352859.571,350679.907,352465.444,351700.358,352496.669,352730.13,350697.137,352386.408,351697.676,350628.97,352530.396,348356.296,348812.504,352692.47,352647.731,352811.127,352316.038
NO3 0 ror,570402.059,570400.813,570399.095,570428.204,570203.32,570248.907,569793.343,570412.375,570000.275,569952.739,570412.591,570420.659,570481.052,570411.907,570404.235,569837.381,569766.161,570402.221,570395.424,570306.04,569262.578,570242.041,570463.932,570207.061,570192.844,569318.002,569077.243,570155.743,570426.991,569886.971,570433.327,570377.575,570247.979,570295.978,570456.368,570234.286,570326.085,569939.586,570232.081,569221.171,569373.378,570285.67,570280.609,570421.273,570171.788
PL0 0 ror,333865.037,333935.245,333855.962,334262.426,333003.348,333115.898,329085.233,334015.841,332175.803,330773.168,333988.867,334026.364,334106.388,334137.273,333875.707,329456.293,329265.071,333859.718,333856.533,333493.549,326122.195,333239.631,330274.959,333164.85,332964.074,326080.002,327320.165,332243.966,334307.189,330117.019,334187.358,333680.555,333070.998,333468.161,330421.555,333184.589,331883.431,330390.411,333328.247,325180.943,326605.213,333488.241,333328.166,333742.531,332861.998
PT0 0 ror,2370103.317,2370211.235,2370126.063,2370877.037,2368138.566,2368478.191,2355012.377,2370319.653,2367867.391,2360654.692,2370611.28,2370353.826,2369947.686,2370711.163,2370178.127,2356376.42,2355583.857,2370140.665,2369994.963,2369197.336,2349571.4,2368940.322,2358951.656,2368597.087,2368350.232,2350045.803,2354288.716,2368057.317,2370913.533,2358191.656,2370889.806,2369685.76,2368669.639,2369292.516,2361044.277,2368472.191,2361693.032,2359208.072,2369007.865,2347753.852,2349362.451,2368927.486,2368824.212,2369535.359,2368758.712
RO0 0 ror,1316751.571,1316832.971,1316359.115,1316685.443,1317165.147,1317272.113,1310096.401,1317105.357,1316930.407,1313741.609,1316395.806,1316965.712,1317323.198,1316391.013,1316197.521,1311937.795,1311917.171,1316540.206,1316794.841,1317565.268,1307422.16,1317327.002,1312048.163,1317171.66,1317160.285,1307890.277,1312918.821,1311635.43,1316892.12,1311731.502,1316988.641,1316084.201,1317414.768,1317530.582,1311915.19,1317168.255,1313756.601,1313453.514,1317428.222,1306899.329,1308345.264,1317475.02,1317478.594,1317365.206,1317253.654
RS0 0 ror,2730377.135,2730412.677,2730779.344,2731326.581,2712591.82,2709331.204,2701176.722,2730704.565,2720654.344,2705671.895,2730920.034,2730907.523,2719003.786,2730743.733,2730686.959,2703624.858,2702838.077,2730746.944,2730279.704,2709565.785,2698761.93,2711596.812,2704293.718,2716971.449,2711661.933,2701055.866,2702687.512,2727565.96,2731059.888,2700722.508,2731372.9,2729911.52,2709604.102,2708867.513,2708994.743,2711154.147,2704801.206,2705201.933,2725686.427,2700324.829,2701562.71,2712387.344,2708688.463,2713099.76,2725025.844
SE3 0 ror,2756722.335,2756705.872,2756712.467,2756795.544,2754871.038,2755190.693,2747620.397,2756760.552,2753923.987,2751550.589,2756752.949,2756782.483,2756109.478,2756763.373,2756720.52,2748951.891,2749366.263,2756719.272,2756715.336,2755652.819,2746136.696,2755368.508,2750380.035,2754943.882,2754974.221,2746250.179,2746410.365,2756036.52,2756813.68,2749274.92,2756816.674,2756622.213,2755343.604,2755699.162,2751475.428,2754990.31,2751196.704,2750851.164,2755120.727,2745254.015,2746108.065,2755304.568,2755477.266,2755932.601,2754613.595
