,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
avail_offwind [MWh],314646276.471,314662605.899,312836929.366,297520210.058,667102958.462,665160033.094,390726771.404,314626346.233,653599336.518,390275137.868,311241653.045,313906480.32,371254887.702,283462816.607,311793592.076,390649193.673,390953860.802,313330772.02,314805394.13,664527234.834,390339471.827,668155009.998,383838032.15,633519892.818,668117854.382,390302201.337,665274098.192,307753511.718,269803087.73,390488963.539,311478018.082,314299365.798,666016439.454,665404281.7,377640282.4,667384846.228,390751682.304,390358799.875,650137264.773,390287540.171,390954426.344,666973202.4,665267002.22,391164072.831,665206135.537
avail_solar [MWh],275489410.349,276214883.443,271898503.785,285790735.938,910609560.595,910868268.602,513064047.857,277443476.817,936557689.494,517099067.513,270977357.54,273598137.03,540203309.876,297907320.288,271453441.715,517154601.548,517104399.943,272671684.576,277410790.809,911258031.787,516276297.345,911108399.742,524804170.1,941918274.309,911190143.529,517065552.225,910905245.511,274154266.494,303486390.772,514324111.107,270982662.526,274546305.959,910824527.313,910768050.896,536137420.119,910570438.114,514765206.688,516969967.049,942121812.328,516874085.417,517101480.328,910615041.701,910806435.583,513331628.929,917086890.757
used_onwind [MWh],131238177.595,129157085.818,138374346.356,138470840.652,879494347.812,877952808.223,380213553.162,125887102.859,887117880.89,370816851.343,140619185.596,134715617.67,356985760.999,134078287.071,139581588.394,368539839.192,367916321.608,136893628.305,125868517.049,878548522.812,374449600.809,882860640.37,383231905.625,847553672.677,883913698.276,372144889.975,876401383.563,141393441.843,130506703.813,377492780.166,140333430.993,133107612.736,878388536.997,878164921.024,369840514.742,881610754.273,383823986.517,369577476.371,865222117.53,373061389.239,368147901.502,878557966.586,877951296.664,380479682.051,889517076.69
used_offwind [MWh],298299869.459,297931147.449,298473503.122,289611552.432,635337105.449,631865850.052,382651837.495,297274763.357,628457312.874,381092857.718,299814179.986,298467805.508,365493578.688,277324867.639,298728267.222,381696880.531,382029120.374,298396996.123,297482258.122,631646539.165,381797746.0,637275514.584,377511810.351,616995817.322,637466145.079,381601181.597,634812141.66,297862022.628,265298785.579,381641438.155,299598954.342,298414013.548,633537982.38,632086191.124,371816791.129,636081309.624,383338836.937,381203750.912,628110710.605,381884447.548,382386446.566,634910512.551,631782400.597,381831239.117,636076709.231
used_solar [MWh],269360332.603,270045236.291,266133258.943,280610568.445,896066644.327,896498298.343,503888548.764,271104867.268,923435597.079,507522571.638,265989751.687,267714270.426,531571338.953,292282171.81,265996704.889,507322587.942,507224196.473,266815458.845,271067544.135,896954071.794,506571135.566,896687600.948,516328305.728,925466137.596,896863913.243,507264786.493,895788704.712,269195382.746,297574026.281,505112752.526,265869818.612,268508851.627,896442978.039,896462144.365,527388312.644,896173415.825,506788039.905,507288263.332,927267538.589,506970402.338,507081471.208,896164827.595,896456137.933,505090266.679,903648795.855
gas_OCGT_gen [MWh],35743975.5,36028691.4,35194856.4,35865574.2,6970447.8,9579312.6,5408438.7,36365024.7,1463878.2,6895405.8,35190244.5,35471578.5,3575725.8,34552259.7,35126732.4,7321984.5,7342858.8,35397912.6,36389477.4,8868435.9,6388702.8,4742974.8,2303538.6,580914.6,4302789.9,6661371.3,9797671.2,35964679.8,35674511.7,5847375.6,35055717.9,35595939.9,8240095.2,9333551.1,3282182.4,5567640.9,3384903.9,7222413.6,722740.5,6515516.7,7328286.6,7518816.3,9795425.4,4967121.9,2841531.9
gas_CCGT_gen [MWh],164309415.9,163906560.9,165086257.8,164137195.2,403884.3,412614.6,11487930.0,163430912.7,335948.7,10157699.7,165092899.5,164694662.1,2780639.4,165995106.9,165182541.3,9982786.8,9885791.1,164799064.8,163396270.2,412466.7,10581246.3,351169.5,15639785.4,522468.3,341032.2,10266868.8,422655.9,163993165.8,164407567.5,10788518.7,165283135.2,164518788.6,410836.8,412791.9,8286279.6,386014.2,13427093.1,10028997.0,425935.5,10386781.8,9902512.2,418128.0,413566.8,11689211.4,313794.0
coal_gen [MWh],119.4,130.8,115.2,141.0,170.1,178.5,2071.5,111.6,168.3,1226.7,91.5,138.9,176.4,154.2,120.9,1557.9,1950.6,109.5,114.3,202.5,1588.8,203.7,1277.7,223.8,206.4,1596.6,1175.1,651.6,132.6,1601.7,112.5,126.9,189.0,196.2,811.2,194.1,1656.6,1985.1,201.3,1243.5,950.4,208.5,232.5,182.7,195.6
nuclear_gen [MWh],667.8,919.2,763.8,544.2,53472970.2,58668445.5,71643.6,795.3,19535906.7,63570.3,531.9,842.7,2948.7,438.9,603.9,96715.8,84521.4,680.1,820.8,58507713.6,54216.0,40749953.7,16221.9,16713742.2,36922263.0,62086.2,58785657.6,3569.1,352.8,67514.7,573.6,708.6,57193299.3,58825753.8,10977.6,47910082.8,48610.5,114329.7,18294495.3,31105.2,58928.1,55556932.5,58773915.0,4535.1,20152408.5
onwind_gen [MWh],393714532.8,387471257.4,415123039.2,415412522.1,2638483043.4,2633858424.6,1140640659.6,377661308.7,2661353642.7,1112450553.9,421857556.8,404146853.1,1070957283.0,402234861.3,418744765.2,1105619517.6,1103748964.8,410680884.9,377605551.0,2635645568.4,1123348802.4,2648581921.2,1149695716.8,2542661018.1,2651741094.9,1116434670.0,2629204150.8,424180325.4,391520111.4,1132478340.6,421000293.0,399322838.1,2635165611.0,2634494763.0,1109521544.1,2644832262.9,1151471959.5,1108732429.2,2595666352.5,1119184167.6,1104443704.5,2635673899.8,2633853890.1,1141439046.3,2668551230.1
